band,entry_minute,filter,stop_multiplier,calls,train_2017_2023_calls,val_2024_2025_calls,confirm_2026_calls,win_rate,train_2017_2023_win_rate,val_2024_2025_win_rate,confirm_2026_win_rate,avg_pnl_pts,train_2017_2023_avg_pnl_pts,val_2024_2025_avg_pnl_pts,confirm_2026_avg_pnl_pts,mean_target_distance_pts,ambiguous_rate
0.03-0.12,5,toward_target,5.0,19,8,10,1,89.47368421052632,87.5,90.0,100.0,6.5499947368412235,4.412487499999543,7.859999999998763,10.549999999999272,11.271047368420975,0.0
0.03-0.12,5,not_away_more_than_0.03pct,4.0,35,18,16,1,80.0,72.22222222222221,87.5,100.0,1.6028028571425759,-2.197327777777799,5.318749999999454,10.549999999999272,14.738531428571358,0.0
0.03-0.12,5,not_away_more_than_0.03pct,5.0,35,18,16,1,80.0,72.22222222222221,87.5,100.0,1.0856571428567154,-4.652888888888912,6.949999999999136,10.549999999999272,14.738531428571358,0.0
0.05-0.15,10,not_away_more_than_0.03pct,4.0,29,14,12,3,89.65517241379311,92.85714285714286,83.33333333333334,100.0,9.741389655171838,6.500021428571537,9.458333333331515,26.00000000000121,18.646562068965697,0.0
0.05-0.15,10,not_away_more_than_0.03pct,5.0,29,14,12,3,89.65517241379311,92.85714285714286,83.33333333333334,100.0,8.55345862068893,6.500021428571537,6.587499999997817,26.00000000000121,18.646562068965697,0.0
0.05-0.15,10,not_away_more_than_0.03pct,3.0,29,14,12,3,86.20689655172413,85.71428571428571,83.33333333333334,100.0,10.287886206896317,5.171335714286215,12.32916666666521,26.00000000000121,18.646562068965697,0.0
0.02-0.10,5,not_away_more_than_0.03pct,4.0,22,15,6,1,72.72727272727273,66.66666666666666,83.33333333333334,100.0,4.165899999999221,2.929986666666203,6.19166666666509,10.549999999999272,11.486322727272967,4.545454545454546
0.02-0.10,5,not_away_more_than_0.03pct,5.0,22,15,6,1,72.72727272727273,66.66666666666666,83.33333333333334,100.0,2.786368181817207,1.7300066666660616,4.133333333331393,10.549999999999272,11.486322727272967,4.545454545454546
0.03-0.12,5,after_favourable_0.02pct,2.5,10,5,4,1,80.0,80.0,75.0,100.0,-0.42000999999963823,1.0499800000001414,-4.9999999999990905,10.549999999999272,8.01498999999967,0.0
0.03-0.12,5,after_favourable_0.02pct,3.0,10,5,4,1,80.0,80.0,75.0,100.0,-1.6250099999997474,0.3199800000002142,-7.099999999999454,10.549999999999272,8.01498999999967,0.0
0.02-0.10,5,toward_target,4.0,9,4,4,1,77.77777777777779,75.0,75.0,100.0,1.616666666665373,3.149999999999636,-2.1500000000023647,10.549999999999272,9.922222222222343,0.0
0.02-0.10,5,toward_target,5.0,9,4,4,1,77.77777777777779,75.0,75.0,100.0,-0.0444444444460209,2.4999999999995453,-5.23750000000291,10.549999999999272,9.922222222222343,0.0
0.03-0.12,5,not_away_more_than_0.03pct,3.0,35,18,16,1,68.57142857142857,61.111111111111114,75.0,100.0,-1.2243371428570493,-3.3639888888887475,0.44687500000009095,10.549999999999272,14.738531428571358,0.0
0.03-0.12,5,after_favourable_0.02pct,2.0,10,5,4,1,70.0,60.0,75.0,100.0,0.45498999999999795,1.1199799999998503,-2.899999999999636,10.549999999999272,8.01498999999967,10.0
0.03-0.12,5,not_away_more_than_0.03pct,2.5,35,18,16,1,65.71428571428571,55.55555555555556,75.0,100.0,0.016378571428608015,-3.11259722222207,2.8781249999999545,10.549999999999272,14.738531428571358,0.0
0.03-0.12,5,not_away_more_than_0.03pct,2.0,35,18,16,1,62.857142857142854,50.0,75.0,100.0,2.0028085714285617,-1.4112055555555747,5.3093750000000455,10.549999999999272,14.738531428571358,2.857142857142857
0.05-0.15,1,after_favourable_0.02pct,1.0,33,21,11,1,72.72727272727273,71.42857142857143,72.72727272727273,100.0,7.1621151515149295,5.278561904761729,8.513636363636165,31.849999999998545,11.098472727272593,6.0606060606060606
0.05-0.15,15,not_away_more_than_0.03pct,1.5,27,12,14,1,66.66666666666666,58.333333333333336,71.42857142857143,100.0,1.4823722222220197,-1.3854958333339102,1.5357142857142858,35.150000000001455,17.23704814814819,0.0
0.05-0.15,15,not_away_more_than_0.03pct,2.0,27,12,14,1,66.66666666666666,58.333333333333336,71.42857142857143,100.0,-0.5500407407410725,-1.5125916666673522,-2.275000000000156,35.150000000001455,17.23704814814819,0.0
0.05-0.15,15,not_away_more_than_0.03pct,2.5,27,12,14,1,66.66666666666666,58.333333333333336,71.42857142857143,100.0,-3.4139388888893505,-3.5105291666674625,-6.085714285714597,35.150000000001455,17.23704814814819,0.0
0.05-0.15,15,not_away_more_than_0.03pct,3.0,27,12,14,1,66.66666666666666,58.333333333333336,71.42857142857143,100.0,-5.655600000000454,-4.108433333334233,-9.89642857142878,35.150000000001455,17.23704814814819,0.0
0.03-0.12,5,toward_target,2.5,19,8,10,1,68.42105263157895,62.5,70.0,100.0,-0.2236894736841733,-1.9062624999999116,0.04500000000007276,10.549999999999272,11.271047368420975,0.0
0.03-0.12,5,toward_target,3.0,19,8,10,1,68.42105263157895,62.5,70.0,100.0,-1.8657947368421064,-3.0875125000000025,-2.129999999999927,10.549999999999272,11.271047368420975,0.0
0.03-0.12,5,toward_target,2.0,19,8,10,1,63.1578947368421,50.0,70.0,100.0,1.2447315789472908,-1.1375125000001844,2.2200000000000726,10.549999999999272,11.271047368420975,5.263157894736842
0.05-0.15,10,toward_target,4.0,15,7,6,2,86.66666666666667,100.0,66.66666666666666,100.0,2.916693333332417,10.042914285714298,-10.975000000002789,19.650000000001455,14.400026666667205,0.0
0.05-0.15,10,toward_target,5.0,15,7,6,2,86.66666666666667,100.0,66.66666666666666,100.0,0.6200266666654595,10.042914285714298,-16.716666666670182,19.650000000001455,14.400026666667205,0.0
0.05-0.15,10,toward_target,3.0,15,7,6,2,80.0,85.71428571428571,66.66666666666666,100.0,3.9732533333330746,7.385542857143654,-5.233333333335395,19.650000000001455,14.400026666667205,0.0
0.02-0.10,5,not_away_more_than_0.03pct,3.0,22,15,6,1,63.63636363636363,60.0,66.66666666666666,100.0,1.2999772727269538,1.7299666666663447,-1.3166666666669091,10.549999999999272,11.486322727272967,4.545454545454546
0.02-0.10,5,not_away_more_than_0.03pct,2.0,22,15,6,1,59.09090909090909,53.333333333333336,66.66666666666666,100.0,2.738599999999761,2.0599466666664132,3.133333333333212,10.549999999999272,11.486322727272967,4.545454545454546
0.02-0.10,5,not_away_more_than_0.03pct,2.5,22,15,6,1,59.09090909090909,53.333333333333336,66.66666666666666,100.0,1.3511068181815062,0.9149566666664517,0.9083333333328483,10.549999999999272,11.486322727272967,4.545454545454546
0.02-0.10,5,not_away_more_than_0.03pct,1.5,22,15,6,1,54.54545454545454,46.666666666666664,66.66666666666666,100.0,3.671547727272561,2.538269999999708,5.358333333333576,10.549999999999272,11.486322727272967,4.545454545454546
0.05-0.15,1,after_favourable_0.02pct,0.75,33,21,11,1,66.66666666666666,66.66666666666666,63.63636363636363,100.0,6.887871969696899,5.327370238095162,7.597727272727339,31.849999999998545,11.098472727272593,6.0606060606060606
0.03-0.12,5,not_away_more_than_0.03pct,1.5,35,18,16,1,57.14285714285714,50.0,62.5,100.0,2.1242385714284735,0.5040749999999308,3.420312499999909,10.549999999999272,14.738531428571358,5.714285714285714
0.05-0.15,10,after_favourable_0.02pct,4.0,11,4,5,2,81.81818181818183,100.0,60.0,100.0,-1.754509090910274,9.500100000000202,-19.320000000003347,19.650000000001455,13.904581818182619,0.0
0.05-0.15,10,after_favourable_0.02pct,5.0,11,4,5,2,81.81818181818183,100.0,60.0,100.0,-4.8863272727288525,9.500100000000202,-26.21000000000422,19.650000000001455,13.904581818182619,0.0
0.05-0.15,10,after_favourable_0.02pct,3.0,11,4,5,2,72.72727272727273,75.0,60.0,100.0,-0.3137454545457414,4.849700000001576,-12.430000000002474,19.650000000001455,13.904581818182619,0.0
0.03-0.12,5,after_favourable_0.02pct,1.5,10,5,4,1,60.0,60.0,50.0,100.0,0.9024899999998525,1.9599799999999958,-2.831250000000182,10.549999999999272,8.01498999999967,20.0
0.05-0.15,15,not_away_more_than_0.03pct,1.0,27,12,14,1,55.55555555555556,58.333333333333336,50.0,100.0,-0.5370629629631165,1.2582749999995333,-4.625,35.150000000001455,17.23704814814819,3.7037037037037033
0.03-0.12,5,toward_target,1.5,19,8,10,1,52.63157894736842,50.0,50.0,100.0,-0.7223736842107954,0.11248749999981555,-2.517500000000291,10.549999999999272,11.271047368420975,10.526315789473683
0.02-0.10,5,toward_target,1.5,9,4,4,1,55.55555555555556,50.0,50.0,100.0,-0.7166666666667475,-0.8500000000003638,-3.399999999999636,10.549999999999272,9.922222222222343,0.0
0.02-0.10,5,toward_target,2.0,9,4,4,1,55.55555555555556,50.0,50.0,100.0,-2.844444444444687,-2.300000000000182,-6.737500000000182,10.549999999999272,9.922222222222343,0.0
0.02-0.10,5,toward_target,2.5,9,4,4,1,55.55555555555556,50.0,50.0,100.0,-4.972222222222626,-3.75,-10.075000000000728,10.549999999999272,9.922222222222343,0.0
0.02-0.10,5,toward_target,3.0,9,4,4,1,55.55555555555556,50.0,50.0,100.0,-7.100000000000364,-5.200000000000273,-13.412500000000364,10.549999999999272,9.922222222222343,0.0
0.03-0.12,5,not_away_more_than_0.03pct,1.0,35,18,16,1,45.714285714285715,38.88888888888889,50.0,100.0,1.395645714285638,-0.5973555555554211,3.065624999999727,10.549999999999272,14.738531428571358,5.714285714285714
0.03-0.12,5,toward_target,1.0,19,8,10,1,42.10526315789473,37.5,40.0,100.0,-0.5079000000002308,-0.7625125000001844,-1.4100000000002182,10.549999999999272,11.271047368420975,10.526315789473683
0.02-0.10,5,not_away_more_than_0.03pct,1.0,22,15,6,1,36.36363636363637,33.33333333333333,33.33333333333333,100.0,0.027186363636329505,0.19654000000009547,-2.1500000000002424,10.549999999999272,11.486322727272967,4.545454545454546
0.03-0.12,5,not_away_more_than_0.03pct,0.75,35,18,16,1,34.285714285714285,33.33333333333333,31.25,100.0,-1.1936164285715287,-1.3139763888888814,-1.792187500000182,10.549999999999272,14.738531428571358,8.571428571428571
0.03-0.12,5,toward_target,0.75,19,8,10,1,36.84210526315789,37.5,30.0,100.0,0.36578421052619986,0.12811249999981555,-0.4625,10.549999999999272,11.271047368420975,15.789473684210526
0.05-0.15,15,not_away_more_than_0.03pct,0.75,27,12,14,1,44.44444444444444,58.333333333333336,28.57142857142857,100.0,-1.5139101851855903,2.5801604166661796,-7.641964285714754,35.150000000001455,17.23704814814819,3.7037037037037033
0.03-0.12,5,after_favourable_0.02pct,1.0,10,5,4,1,50.0,60.0,25.0,100.0,-0.12501000000011117,2.7999799999997776,-6.449999999999818,10.549999999999272,8.01498999999967,20.0
0.02-0.10,5,toward_target,0.75,9,4,4,1,33.33333333333333,25.0,25.0,100.0,-1.5597222222220606,-2.393750000000182,-3.7531249999992724,10.549999999999272,9.922222222222343,0.0
