family,interval_min,rule,direction,entry_after_bars,target_pct,stop_pct,calls,win_rate,avg_pnl_pts,median_pnl_pts,target_rate,stop_rate,eod_rate,ambiguous_rate,train_2017_2024_calls,val_2025_calls,confirm_2026_calls,train_2017_2024_win_rate,val_2025_win_rate,confirm_2026_win_rate,train_2017_2024_avg_pnl_pts,val_2025_avg_pnl_pts,confirm_2026_avg_pnl_pts
generic_first_window,15,first15_trend_gt_0.4,UP,1,0.3,0.3,104,50.0,1.1649248586538379,12.04012499999981,50.0,46.15384615384615,3.8461538461538463,0.9615384615384616,79,17,8,49.36708860759494,47.05882352941176,62.5,-0.12597297088605763,-0.917805882353069,18.33834375
generic_first_window,15,first15_trend_gt_0.4,UP,1,0.2,0.2,104,49.03846153846153,0.5905124288461538,-15.9312,49.03846153846153,50.96153846153846,0.0,5.769230769230769,79,17,8,48.10126582278481,47.05882352941176,62.5,0.10460496962025319,-2.626764705882353,12.225562499999999
generic_first_window,10,first20_trend_lt_-0.3,DOWN,2,0.3,0.3,393,56.99745547073791,6.418863213303127,29.484149999999996,55.216284987277355,40.71246819338422,4.071246819338422,1.2722646310432568,332,32,29,57.831325301204814,43.75,62.06896551724138,6.993865038638943,-9.895604687499956,17.838255172413742
generic_first_window,10,first30_trend_lt_-0.2,DOWN,3,0.2,0.2,650,55.07692307692308,3.7116837037500026,20.3803999,54.61538461538461,44.15384615384615,1.2307692307692308,1.8461538461538463,533,67,50,54.409005628517825,55.223880597014926,62.0,2.7412947606707228,5.142364179104574,12.138918000000004
generic_first_window,15,first30_trend_lt_-0.2,DOWN,2,0.2,0.2,650,54.61538461538461,3.441881858826925,20.0972,54.15384615384615,44.61538461538462,1.2307692307692308,2.769230769230769,533,67,50,53.84615384615385,55.223880597014926,62.0,2.412268120520629,5.142364179104574,12.138918000000004
generic_first_window,10,first30_trend_lt_-0.15,DOWN,3,0.3,0.3,814,57.125307125307124,6.517828744502467,30.0591,52.702702702702695,39.06633906633907,8.230958230958231,0.6142506142506142,662,87,65,56.646525679758305,57.47126436781609,61.53846153846154,5.3604259788897295,8.393754597701216,15.794676153846153
generic_first_window,15,first30_trend_lt_-0.15,DOWN,2,0.3,0.3,814,57.125307125307124,6.517828744502467,30.0591,52.702702702702695,39.06633906633907,8.230958230958231,0.6142506142506142,662,87,65,56.646525679758305,57.47126436781609,61.53846153846154,5.3604259788897295,8.393754597701216,15.794676153846153
generic_first_window,10,first30_trend_lt_-0.1,DOWN,3,0.2,0.2,976,53.68852459016394,2.6641842225986165,19.772150000000003,52.86885245901639,45.59426229508197,1.5368852459016393,1.2295081967213115,802,102,72,52.618453865336654,56.86274509803921,61.111111111111114,1.3558259367284853,6.582996078431437,11.686191666666648
generic_first_window,15,first30_trend_lt_-0.1,DOWN,2,0.2,0.2,976,53.38114754098361,2.484500616860912,19.720100000000002,52.56147540983606,45.90163934426229,1.5368852459016393,1.8442622950819672,802,102,72,52.244389027431424,56.86274509803921,61.111111111111114,1.1371586060551684,6.582996078431437,11.686191666666648
generic_first_window,10,first30_trend_lt_-0.3,DOWN,3,0.3,0.3,441,56.916099773242635,6.532317779365091,29.897850000000002,53.74149659863946,40.58956916099773,5.6689342403628125,1.1337868480725624,369,36,36,56.36856368563685,58.333333333333336,61.111111111111114,5.437570706504068,10.54862916666673,13.737163888888928
