feature,rho_dev,orientation,mode,quantile,threshold_hi,threshold_lo,dev2023_24_n,dev2023_24_coverage_pct,dev2023_24_exact_pct,dev2023_24_sign_n,dev2023_24_sign_pct,dev2023_24_up_calls,dev2023_24_down_calls,val2025_n,val2025_coverage_pct,val2025_exact_pct,val2025_sign_n,val2025_sign_pct,val2025_up_calls,val2025_down_calls,confirm2026_n,confirm2026_coverage_pct,confirm2026_exact_pct,confirm2026_sign_n,confirm2026_sign_pct,confirm2026_up_calls,confirm2026_down_calls,min_val_confirm_exact_pct,min_val_confirm_sign_pct,mean_val_confirm_coverage_pct
px_rv20_z63,0.050281,1,up_tail,0.9,1.9839966331745407,,31,9.04,58.06,26,69.23,31,0,13,5.24,69.23,12,75.0,13,0,36,21.69,63.89,33,69.7,36,0,63.89,69.7,13.465
Pro_scall_qflow_posdays4,0.088401,1,up_tail,0.925,1.0,,28,8.16,60.71,25,68.0,28,0,15,6.05,60.0,13,69.23,15,0,17,10.24,70.59,16,75.0,17,0,60.0,69.23,8.145
Pro_scall_qflow_posdays4,0.088401,1,up_tail,0.95,1.0,,28,8.16,60.71,25,68.0,28,0,15,6.05,60.0,13,69.23,15,0,17,10.24,70.59,16,75.0,17,0,60.0,69.23,8.145
Pro_scall_rflow_posdays4,0.088401,1,up_tail,0.925,1.0,,28,8.16,60.71,25,68.0,28,0,15,6.05,60.0,13,69.23,15,0,17,10.24,70.59,16,75.0,17,0,60.0,69.23,8.145
Pro_scall_rflow_posdays4,0.088401,1,up_tail,0.95,1.0,,28,8.16,60.71,25,68.0,28,0,15,6.05,60.0,13,69.23,15,0,17,10.24,70.59,16,75.0,17,0,60.0,69.23,8.145
px_rv20_chg15,0.059954,1,up_tail,0.8,3.8540066280000005,,62,18.08,53.23,47,70.21,62,0,15,6.05,60.0,12,75.0,15,0,33,19.88,60.61,29,68.97,33,0,60.0,68.97,12.965
px_rv20_z63,0.050281,1,up_tail,0.925,2.094350464758789,,23,6.71,60.87,19,73.68,23,0,13,5.24,69.23,12,75.0,13,0,32,19.28,62.5,30,66.67,32,0,62.5,66.67,12.260000000000002
px_rv20_chg15,0.059954,1,up_tail,0.925,7.303727154000016,,24,7.0,58.33,19,73.68,24,0,14,5.65,57.14,11,72.73,14,0,14,8.43,57.14,12,66.67,14,0,57.14,66.67,7.04
px_rv20_chg15,0.059954,1,up_tail,0.9,5.8040412,,31,9.04,61.29,24,79.17,31,0,15,6.05,60.0,12,75.0,15,0,18,10.84,55.56,15,66.67,18,0,55.56,66.67,8.445
Pro_v2inst_lvl_chg4,0.090287,1,two_tail,0.95,0.025226259999999986,-0.027527998199999987,34,9.91,47.06,26,61.54,17,17,26,10.48,53.85,21,66.67,19,7,15,9.04,53.33,12,66.67,8,7,53.33,66.67,9.76
px_atr5_sum7,0.062238,1,two_tail,0.95,0.39273327599999996,0.18899087999999997,34,9.91,50.0,28,60.71,17,17,43,17.34,51.16,33,66.67,4,39,45,27.11,57.78,37,70.27,20,25,51.16,66.67,22.225
Pro_icall_qflow_sum5,0.122761,1,two_tail,0.95,0.03726959599999992,-0.047755224999999984,34,9.91,47.06,23,69.57,17,17,37,14.92,59.46,32,68.75,25,12,16,9.64,50.0,12,66.67,13,3,50.0,66.67,12.280000000000001
Client_sput_qflow_sum3,-0.061992,-1,up_tail,0.85,0.04005309,,52,15.16,44.23,37,62.16,52,0,24,9.68,41.67,15,66.67,24,0,10,6.02,70.0,10,70.0,10,0,41.67,66.67,7.85
DII_v2inst_lvl_chg21,0.129052,1,two_tail,0.925,0.013178922850000004,-0.018376523100000004,50,14.58,52.0,41,63.41,25,25,51,20.56,58.82,46,65.22,37,14,53,31.93,58.49,47,65.96,31,22,58.49,65.22,26.244999999999997
Client_futheavy_rflow_z63,-0.094024,-1,down_tail,0.925,,-1.2820114019095417,25,7.29,52.0,23,56.52,0,25,20,8.06,65.0,20,65.0,0,20,17,10.24,58.82,15,66.67,0,17,58.82,65.0,9.15
FII_sput_rflow_sum2,0.123213,1,up_tail,0.925,0.02245660475000002,,26,7.58,57.69,20,75.0,26,0,26,10.48,50.0,20,65.0,26,0,13,7.83,53.85,10,70.0,13,0,50.0,65.0,9.155000000000001
