feature,rho_dev,orientation,mode,quantile,threshold_hi,threshold_lo,dev2023_24_n,dev2023_24_coverage_pct,dev2023_24_exact_pct,dev2023_24_sign_n,dev2023_24_sign_pct,dev2023_24_up_calls,dev2023_24_down_calls,val2025_n,val2025_coverage_pct,val2025_exact_pct,val2025_sign_n,val2025_sign_pct,val2025_up_calls,val2025_down_calls,confirm2026_n,confirm2026_coverage_pct,confirm2026_exact_pct,confirm2026_sign_n,confirm2026_sign_pct,confirm2026_up_calls,confirm2026_down_calls,min_val_confirm_exact_pct,min_val_confirm_sign_pct,mean_val_confirm_coverage_pct
Client_v2inst_qflow_posdays4,-0.079688,-1,up_tail,0.95,-0.0,,20,5.83,60.0,15,80.0,20,0,6,2.42,66.67,5,80.0,6,0,3,1.81,66.67,3,66.67,3,0,66.67,66.67,2.115
Pro_v2inst_lvl_sum7,0.055859,1,down_tail,0.925,,-0.1851075990000001,26,7.58,53.85,23,60.87,0,26,6,2.42,66.67,6,66.67,0,6,0,0.0,,0,,0,0,66.67,66.67,1.21
Pro_v2inst_lvl_mean7,0.058645,1,down_tail,0.925,,-0.026443942714285726,26,7.58,53.85,23,60.87,0,26,6,2.42,66.67,6,66.67,0,6,0,0.0,,0,,0,0,66.67,66.67,1.21
Client_sfut_rflow_sum3,0.078268,1,up_tail,0.925,0.019934865,,26,7.58,50.0,24,54.17,26,0,3,1.21,66.67,3,66.67,3,0,1,0.6,100.0,1,100.0,1,0,66.67,66.67,0.905
oc_pcr_doi_posdays15,-0.088738,-1,down_tail,0.925,,-1.0,28,8.16,50.0,24,58.33,0,28,0,0.0,,0,,0,0,3,1.81,66.67,3,66.67,0,3,66.67,66.67,0.905
oc_pcr_doi_posdays15,-0.088738,-1,down_tail,0.95,,-1.0,28,8.16,50.0,24,58.33,0,28,0,0.0,,0,,0,0,3,1.81,66.67,3,66.67,0,3,66.67,66.67,0.905
Pro_scall_lvl,-0.065492,-1,up_tail,0.9,0.25047536200000003,,35,10.2,65.71,30,76.67,35,0,3,1.21,66.67,3,66.67,3,0,0,0.0,,0,,0,0,66.67,66.67,0.605
Pro_scall_lvl,-0.065492,-1,up_tail,0.925,0.25329878000000006,,26,7.58,65.38,22,77.27,26,0,3,1.21,66.67,3,66.67,3,0,0,0.0,,0,,0,0,66.67,66.67,0.605
Pro_scall_lvl_sum4,-0.073325,-1,up_tail,0.7,0.884934367,,103,30.03,46.6,80,60.0,103,0,3,1.21,66.67,3,66.67,3,0,0,0.0,,0,,0,0,66.67,66.67,0.605
Pro_scall_lvl_mean4,-0.061118,-1,up_tail,0.7,0.22123359175,,103,30.03,46.6,80,60.0,103,0,3,1.21,66.67,3,66.67,3,0,0,0.0,,0,,0,0,66.67,66.67,0.605
Client_sfut_rflow_chg7,0.12898,1,up_tail,0.925,0.01455444875,,26,7.58,53.85,20,70.0,26,0,3,1.21,66.67,3,66.67,3,0,0,0.0,,0,,0,0,66.67,66.67,0.605
Client_sput_lvl_sum7,-0.053005,-1,up_tail,0.9,1.55594138,,35,10.2,51.43,26,69.23,35,0,3,1.21,66.67,3,66.67,3,0,0,0.0,,0,,0,0,66.67,66.67,0.605
Client_sput_lvl_mean7,-0.045866,-1,up_tail,0.9,0.22227734,,35,10.2,51.43,26,69.23,35,0,3,1.21,66.67,3,66.67,3,0,0,0.0,,0,,0,0,66.67,66.67,0.605
smart_vs_client_futheavy_rflow_sum21,0.031407,1,up_tail,0.9,0.25075491347999995,,34,9.91,55.88,25,76.0,34,0,3,1.21,66.67,3,66.67,3,0,0,0.0,,0,,0,0,66.67,66.67,0.605
smart_vs_client_futheavy_rflow_mean21,0.033476,1,up_tail,0.9,0.011940710165714285,,34,9.91,55.88,25,76.0,34,0,3,1.21,66.67,3,66.67,3,0,0,0.0,,0,,0,0,66.67,66.67,0.605
