outcome,strategy,feature,orientation,mode,quantile,threshold_high,threshold_low,rho_dev,dev2023_24_n,dev2023_24_coverage_pct,dev2023_24_up_calls,dev2023_24_down_calls,dev2023_24_exact_pct,dev2023_24_sign_n,dev2023_24_sign_pct,val2025_n,val2025_coverage_pct,val2025_up_calls,val2025_down_calls,val2025_exact_pct,val2025_sign_n,val2025_sign_pct,confirm2026_n,confirm2026_coverage_pct,confirm2026_up_calls,confirm2026_down_calls,confirm2026_exact_pct,confirm2026_sign_n,confirm2026_sign_pct,min_holdout_exact_pct,min_holdout_sign_pct,mean_holdout_coverage_pct
close_to_close,vix_direct,vix_z20,1,upper,0.8,1.2354010705169314,,0.033601,69,20.23,69,0,50.72,56,62.5,38,15.38,38,0,55.26,34,61.76,32,20.38,32,0,50.0,30,53.33,50.0,53.33,17.88
close_to_close,v3_vix_agree,vix_ret20,1,both,0.7,8.878503048593787,-5.8671293893291825,0.028539,95,27.86,51,44,40.0,68,55.88,89,36.03,32,57,49.44,69,63.77,61,38.85,26,35,59.02,56,64.29,49.44,63.77,37.44
close_to_close,v3_vix_agree,vix_high,1,both,0.85,16.260000228881836,12.020000457763672,0.032041,51,14.96,29,22,54.9,39,71.79,63,25.51,28,35,49.21,52,59.62,45,28.66,34,11,51.11,37,62.16,49.21,59.62,27.085
close_to_close,v3_vix_agree,vix_open,1,both,0.85,15.56999969482422,11.369999885559082,0.047486,53,15.54,31,22,54.72,41,70.73,59,23.89,28,31,49.15,49,59.18,44,28.03,34,10,54.55,37,64.86,49.15,59.18,25.96
close_to_close,vix_direct,vix_ret20,1,upper,0.7,8.878503048593787,,0.028539,103,30.21,103,0,44.66,80,57.5,59,23.89,59,0,49.15,49,59.18,45,28.66,45,0,51.11,42,54.76,49.15,54.76,26.275
close_to_close,v3_vix_agree,vix_close,1,both,0.75,14.630000114440918,12.140000343322754,0.042152,84,24.63,42,42,53.57,69,65.22,88,35.63,38,50,48.86,73,58.9,53,33.76,36,17,52.83,44,63.64,48.86,58.9,34.695
close_to_close,vix_direct,vix_ret20,1,upper,0.6,4.613933864391639,,0.028539,137,40.18,137,0,48.18,107,61.68,82,33.2,82,0,48.78,70,57.14,52,33.12,52,0,50.0,46,56.52,48.78,56.52,33.16
close_to_close,v3_vix_agree,vix_high,1,upper,0.7,15.079999923706056,,0.032041,54,15.84,54,0,53.7,41,70.73,41,16.6,41,0,48.78,34,58.82,39,24.84,39,0,48.72,32,59.38,48.72,58.82,20.72
close_to_close,v3_vix_agree,vix_low,1,both,0.9,15.239999771118164,10.399999618530272,0.042187,37,10.85,19,18,51.35,28,67.86,43,17.41,22,21,51.16,35,62.86,39,24.84,32,7,48.72,33,57.58,48.72,57.58,21.125
close_to_close,v3_vix_agree,vix_z20,1,both,0.75,1.0699814120586424,-0.8225159968520314,0.033601,70,20.53,38,32,45.71,50,64.0,74,29.96,22,52,48.65,58,62.07,51,32.48,21,30,58.82,45,66.67,48.65,62.07,31.22
close_to_close,v3_vix_agree,vix_low,1,both,0.8,14.18000030517578,10.949999809265137,0.042187,67,19.65,34,33,50.75,53,64.15,74,29.96,35,39,48.65,60,60.0,49,31.21,35,14,53.06,42,61.9,48.65,60.0,30.585
close_to_close,v3_vix_agree,vix_open,1,upper,0.75,14.68000030517578,,0.047486,46,13.49,46,0,54.35,33,75.76,38,15.38,38,0,50.0,32,59.38,37,23.57,37,0,48.65,30,60.0,48.65,59.38,19.475
close_to_close,v3_vix_agree,vix_open,1,both,0.9,16.100000381469727,11.140000343322754,0.047486,36,10.56,21,15,61.11,27,81.48,45,18.22,22,23,53.33,36,66.67,35,22.29,32,3,48.57,29,58.62,48.57,58.62,20.255
close_to_close,v3_vix_agree,vix_open,1,both,0.925,16.645000457763672,10.984999656677246,0.047486,26,7.62,15,11,61.54,20,80.0,41,16.6,18,23,51.22,33,63.64,35,22.29,32,3,48.57,29,58.62,48.57,58.62,19.445
close_to_close,v3_vix_agree,vix_close,1,both,0.6,14.039999961853027,13.039999961853027,0.042152,133,39.0,67,66,47.37,102,61.76,105,42.51,42,63,48.57,88,57.95,66,42.04,39,27,51.52,55,61.82,48.57,57.95,42.275
close_to_close,v3_vix_agree,vix_close,1,both,0.925,16.645000457763672,10.984999656677246,0.042152,23,6.74,13,10,60.87,17,82.35,39,15.79,19,20,48.72,31,61.29,35,22.29,32,3,48.57,30,56.67,48.57,56.67,19.04
close_to_close,v3_vix_agree,vix_range_mean10,1,both,0.7,13.441320145135773,9.093627136335668,0.046729,108,31.67,55,53,47.22,82,62.2,80,32.39,6,74,53.75,70,61.43,33,21.02,14,19,48.48,28,57.14,48.48,57.14,26.705
close_to_close,v3_vix_gate,vix_range_mean20,1,both,0.8,14.593486068866662,9.262536821771926,0.030463,137,40.18,74,63,42.34,101,57.43,130,52.63,60,70,48.46,105,60.0,49,31.21,26,23,51.02,42,59.52,48.46,59.52,41.92
close_to_close,v3_vix_agree,vix_close,1,both,0.7,14.449999809265137,12.550000190734863,0.042152,99,29.03,51,48,49.49,78,62.82,97,39.27,39,58,48.45,82,57.32,59,37.58,37,22,50.85,48,62.5,48.45,57.32,38.425
close_to_close,v3_vix_gate,vix_ret20,1,both,0.8,12.952901359754708,-10.177937976960184,0.028539,138,40.47,73,65,39.13,103,52.43,128,51.82,69,59,48.44,104,59.62,96,61.15,51,45,53.12,81,62.96,48.44,59.62,56.485
close_to_close,v3_vix_agree,vix_ret20,1,both,0.9,20.6870225895591,-17.819707309296962,0.028539,28,8.21,16,12,46.43,21,61.9,31,12.55,15,16,48.39,23,65.22,34,21.66,21,13,55.88,33,57.58,48.39,57.58,17.105
close_to_close,v3_vix_agree,vix_low,1,both,0.7,13.619999885559082,11.539999961853027,0.042187,105,30.79,55,50,48.57,85,60.0,87,35.22,41,46,48.28,70,60.0,61,38.85,36,25,52.46,50,64.0,48.28,60.0,37.035
close_to_close,v3_vix_agree,vix_open,1,both,0.75,14.68000030517578,12.130000114440918,0.047486,89,26.1,46,43,51.69,69,66.67,87,35.22,38,49,48.28,72,58.33,56,35.67,37,19,55.36,47,65.96,48.28,58.33,35.445
close_to_close,v3_vix_gate,vix_open,1,both,0.85,15.56999969482422,11.369999885559082,0.047486,104,30.5,61,43,47.12,82,59.76,112,45.34,59,53,48.21,91,59.34,81,51.59,40,41,49.38,67,59.7,48.21,59.34,48.465
close_to_close,v3_vix_agree,vix_z20,1,upper,0.7,0.8988486260752337,,0.033601,47,13.78,47,0,46.81,35,62.86,27,10.93,27,0,48.15,19,68.42,23,14.65,23,0,60.87,21,66.67,48.15,66.67,12.79
close_to_close,v3_vix_gate,vix_high,1,both,0.925,18.494999885559082,11.375,0.032041,52,15.25,31,21,57.69,43,69.77,65,26.32,33,32,52.31,53,64.15,54,34.39,32,22,48.15,45,57.78,48.15,57.78,30.355
close_to_close,v3_vix_gate,vix_ret20,1,both,0.85,15.586310376338087,-12.980420353913447,0.028539,104,30.5,56,48,43.27,80,56.25,106,42.91,57,49,48.11,84,60.71,85,54.14,49,36,54.12,73,63.01,48.11,60.71,48.525
close_to_close,v3_vix_agree,vix_z20,1,lower,0.75,,-0.8225159968520314,0.033601,32,9.38,0,32,37.5,21,57.14,52,21.05,0,52,48.08,42,59.52,30,19.11,0,30,56.67,25,68.0,48.08,59.52,20.08
close_to_close,v3_vix_agree,vix_ret20,1,both,0.6,4.613933864391639,-2.208480624909437,0.028539,130,38.12,68,62,43.08,94,59.57,121,48.99,47,74,47.93,95,61.05,76,48.41,31,45,57.89,68,64.71,47.93,61.05,48.7
close_to_close,vix_direct,vix_high,1,upper,0.925,18.494999885559082,,0.032041,26,7.62,26,0,61.54,23,69.57,21,8.5,21,0,61.9,19,68.42,46,29.3,46,0,47.83,40,55.0,47.83,55.0,18.9
close_to_close,v3_vix_gate,vix_high,1,upper,0.925,18.494999885559082,,0.032041,26,7.62,15,11,61.54,23,69.57,21,8.5,10,11,52.38,19,57.89,46,29.3,27,19,47.83,40,55.0,47.83,55.0,18.9
close_to_close,v3_vix_gate,vix_open,1,both,0.8,15.170000076293944,11.760000228881836,0.047486,138,40.47,74,64,51.45,114,62.28,136,55.06,70,66,47.79,109,59.63,90,57.32,45,45,47.78,74,58.11,47.78,58.11,56.19
close_to_close,v3_vix_gate,vix_low,1,upper,0.8,14.18000030517578,,0.042187,69,20.23,34,35,44.93,55,56.36,64,25.91,35,29,48.44,51,60.78,65,41.4,35,30,47.69,54,57.41,47.69,57.41,33.655
