date,timestamp,bar_index,open,high,low,close,volume,minute_count,first_timestamp,last_timestamp
2022-12-02,2022-12-02T10:15:00,6,18704.0508,18710.0508,18693.4004,18694.25,,10,2022-12-02 10:15:00,2022-12-02 10:24:00
2022-12-02,2022-12-02T10:25:00,7,18694.0508,18705.5996,18690.0,18705.0996,,10,2022-12-02 10:25:00,2022-12-02 10:34:00
2022-12-02,2022-12-02T10:35:00,8,18705.1992,18705.9004,18691.3496,18703.5,,10,2022-12-02 10:35:00,2022-12-02 10:44:00
2022-12-02,2022-12-02T10:45:00,9,18703.0508,18705.9492,18693.4492,18698.3008,,10,2022-12-02 10:45:00,2022-12-02 10:54:00
2022-12-02,2022-12-02T10:55:00,10,18697.5996,18704.9492,18695.5,18704.5508,,10,2022-12-02 10:55:00,2022-12-02 11:04:00
2022-12-02,2022-12-02T11:05:00,11,18704.1992,18711.5,18697.75,18699.3496,,10,2022-12-02 11:05:00,2022-12-02 11:14:00
2022-12-02,2022-12-02T11:15:00,12,18699.3008,18706.0996,18692.75,18693.9004,,10,2022-12-02 11:15:00,2022-12-02 11:24:00
2022-12-02,2022-12-02T11:25:00,13,18693.4492,18695.5,18673.9004,18675.3496,,10,2022-12-02 11:25:00,2022-12-02 11:34:00
2022-12-02,2022-12-02T11:35:00,14,18674.8008,18676.4492,18657.5996,18667.8008,,10,2022-12-02 11:35:00,2022-12-02 11:44:00
2022-12-02,2022-12-02T11:45:00,15,18666.9492,18668.4004,18645.0,18650.5,,10,2022-12-02 11:45:00,2022-12-02 11:54:00
2022-12-02,2022-12-02T11:55:00,16,18651.3008,18652.9004,18642.5508,18646.9492,,10,2022-12-02 11:55:00,2022-12-02 12:04:00
2022-12-02,2022-12-02T12:05:00,17,18646.4004,18656.0996,18642.25,18646.8008,,10,2022-12-02 12:05:00,2022-12-02 12:14:00
2022-12-02,2022-12-02T12:15:00,18,18646.3496,18657.4004,18639.5996,18647.3008,,10,2022-12-02 12:15:00,2022-12-02 12:24:00
2022-12-02,2022-12-02T12:25:00,19,18646.5508,18655.3496,18641.0996,18650.75,,10,2022-12-02 12:25:00,2022-12-02 12:34:00
2022-12-02,2022-12-02T12:35:00,20,18650.9004,18662.5,18648.1504,18661.4492,,10,2022-12-02 12:35:00,2022-12-02 12:44:00
2022-12-02,2022-12-02T12:45:00,21,18661.4492,18666.5508,18657.3496,18666.5508,,10,2022-12-02 12:45:00,2022-12-02 12:54:00
2022-12-02,2022-12-02T12:55:00,22,18665.8496,18681.5,18655.5996,18675.5,,10,2022-12-02 12:55:00,2022-12-02 13:04:00
2022-12-02,2022-12-02T13:05:00,23,18675.4492,18683.8496,18667.6504,18681.4004,,10,2022-12-02 13:05:00,2022-12-02 13:14:00
2022-12-02,2022-12-02T13:15:00,24,18681.75,18682.0508,18666.5508,18676.3008,,10,2022-12-02 13:15:00,2022-12-02 13:24:00
2022-12-02,2022-12-02T13:25:00,25,18676.1504,18676.1992,18655.9004,18668.5508,,10,2022-12-02 13:25:00,2022-12-02 13:34:00
2022-12-02,2022-12-02T13:35:00,26,18668.8496,18678.6992,18668.0996,18678.6992,,10,2022-12-02 13:35:00,2022-12-02 13:44:00
2022-12-02,2022-12-02T13:45:00,27,18679.5508,18694.1992,18678.4492,18692.8496,,10,2022-12-02 13:45:00,2022-12-02 13:54:00
2022-12-02,2022-12-02T13:55:00,28,18692.8008,18697.25,18682.3008,18686.3008,,10,2022-12-02 13:55:00,2022-12-02 14:04:00
2022-12-02,2022-12-02T14:05:00,29,18685.75,18697.4492,18683.8496,18687.8008,,10,2022-12-02 14:05:00,2022-12-02 14:14:00
2022-12-02,2022-12-02T14:15:00,30,18688.3008,18701.9492,18677.5,18700.6992,,10,2022-12-02 14:15:00,2022-12-02 14:24:00
2022-12-02,2022-12-02T14:25:00,31,18700.0996,18705.8008,18693.5,18703.1992,,10,2022-12-02 14:25:00,2022-12-02 14:34:00
2022-12-02,2022-12-02T14:35:00,32,18703.5508,18703.75,18675.9492,18684.8008,,10,2022-12-02 14:35:00,2022-12-02 14:44:00
2022-12-02,2022-12-02T14:45:00,33,18685.1992,18691.0996,18677.0996,18680.0,,10,2022-12-02 14:45:00,2022-12-02 14:54:00
2022-12-02,2022-12-02T14:55:00,34,18680.25,18699.4492,18677.5508,18683.1504,,10,2022-12-02 14:55:00,2022-12-02 15:04:00
2022-12-02,2022-12-02T15:05:00,35,18683.3496,18698.5508,18683.25,18694.4004,,10,2022-12-02 15:05:00,2022-12-02 15:14:00
2022-12-02,2022-12-02T15:15:00,36,18694.1504,18707.1992,18691.25,18704.9004,,10,2022-12-02 15:15:00,2022-12-02 15:24:00
2022-12-02,2022-12-02T15:25:00,37,18704.6992,18708.1504,18699.5996,18705.1992,,5,2022-12-02 15:25:00,2022-12-02 15:29:00
2022-12-05,2022-12-05T09:15:00,0,18719.5508,18728.5996,18662.4004,18669.5996,,10,2022-12-05 09:15:00,2022-12-05 09:24:00
2022-12-05,2022-12-05T09:25:00,1,18669.5508,18671.6992,18647.4492,18657.5996,,10,2022-12-05 09:25:00,2022-12-05 09:34:00
2022-12-05,2022-12-05T09:35:00,2,18657.1992,18667.25,18649.1992,18654.25,,10,2022-12-05 09:35:00,2022-12-05 09:44:00
2022-12-05,2022-12-05T09:45:00,3,18654.25,18654.9004,18609.5996,18610.4004,,10,2022-12-05 09:45:00,2022-12-05 09:54:00
2022-12-05,2022-12-05T09:55:00,4,18610.5508,18617.3496,18597.5508,18604.8496,,10,2022-12-05 09:55:00,2022-12-05 10:04:00
2022-12-05,2022-12-05T10:05:00,5,18604.1504,18607.1504,18591.9492,18596.8008,,10,2022-12-05 10:05:00,2022-12-05 10:14:00
2022-12-05,2022-12-05T10:15:00,6,18597.0996,18615.9492,18596.0996,18610.3008,,10,2022-12-05 10:15:00,2022-12-05 10:24:00
2022-12-05,2022-12-05T10:25:00,7,18611.0508,18627.5508,18608.8496,18626.0,,10,2022-12-05 10:25:00,2022-12-05 10:34:00
2022-12-05,2022-12-05T10:35:00,8,18626.0996,18633.75,18617.5,18622.3008,,10,2022-12-05 10:35:00,2022-12-05 10:44:00
2022-12-05,2022-12-05T10:45:00,9,18622.25,18628.4492,18621.8496,18622.6504,,10,2022-12-05 10:45:00,2022-12-05 10:54:00
2022-12-05,2022-12-05T10:55:00,10,18622.5996,18630.1992,18615.3496,18624.3496,,10,2022-12-05 10:55:00,2022-12-05 11:04:00
2022-12-05,2022-12-05T11:05:00,11,18624.5996,18639.9492,18624.1992,18638.4004,,10,2022-12-05 11:05:00,2022-12-05 11:14:00
2022-12-05,2022-12-05T11:15:00,12,18638.8496,18646.6504,18633.8008,18636.5,,10,2022-12-05 11:15:00,2022-12-05 11:24:00
2022-12-05,2022-12-05T11:25:00,13,18636.5508,18645.8008,18632.9004,18642.5,,10,2022-12-05 11:25:00,2022-12-05 11:34:00
2022-12-05,2022-12-05T11:35:00,14,18642.4492,18654.5,18636.8008,18650.6504,,10,2022-12-05 11:35:00,2022-12-05 11:44:00
2022-12-05,2022-12-05T11:45:00,15,18650.6992,18650.8496,18638.0,18640.6992,,10,2022-12-05 11:45:00,2022-12-05 11:54:00
2022-12-05,2022-12-05T11:55:00,16,18640.1992,18653.8008,18640.1992,18648.4004,,10,2022-12-05 11:55:00,2022-12-05 12:04:00
2022-12-05,2022-12-05T12:05:00,17,18648.0996,18668.25,18645.1992,18667.6504,,10,2022-12-05 12:05:00,2022-12-05 12:14:00
2022-12-05,2022-12-05T12:15:00,18,18667.5508,18705.0508,18667.5508,18700.75,,10,2022-12-05 12:15:00,2022-12-05 12:24:00
2022-12-05,2022-12-05T12:25:00,19,18700.6992,18719.0,18699.0,18703.3008,,10,2022-12-05 12:25:00,2022-12-05 12:34:00
2022-12-05,2022-12-05T12:35:00,20,18704.5,18709.25,18686.1992,18696.9492,,10,2022-12-05 12:35:00,2022-12-05 12:44:00
2022-12-05,2022-12-05T12:45:00,21,18697.5508,18706.0996,18691.0,18699.3496,,10,2022-12-05 12:45:00,2022-12-05 12:54:00
2022-12-05,2022-12-05T12:55:00,22,18699.0996,18700.4004,18679.25,18689.5,,10,2022-12-05 12:55:00,2022-12-05 13:04:00
2022-12-05,2022-12-05T13:05:00,23,18689.3008,18690.5996,18676.9492,18677.8496,,10,2022-12-05 13:05:00,2022-12-05 13:14:00
2022-12-05,2022-12-05T13:15:00,24,18677.3496,18680.0508,18667.9004,18671.5996,,10,2022-12-05 13:15:00,2022-12-05 13:24:00
2022-12-05,2022-12-05T13:25:00,25,18671.8008,18676.5508,18651.3496,18653.1992,,10,2022-12-05 13:25:00,2022-12-05 13:34:00
2022-12-05,2022-12-05T13:35:00,26,18653.8008,18656.0508,18637.5508,18641.75,,10,2022-12-05 13:35:00,2022-12-05 13:44:00
2022-12-05,2022-12-05T13:45:00,27,18641.0,18655.4004,18635.4004,18645.6504,,10,2022-12-05 13:45:00,2022-12-05 13:54:00
2022-12-05,2022-12-05T13:55:00,28,18645.5508,18648.5,18629.9492,18639.25,,10,2022-12-05 13:55:00,2022-12-05 14:04:00
2022-12-05,2022-12-05T14:05:00,29,18639.3008,18664.1504,18638.4492,18649.4004,,10,2022-12-05 14:05:00,2022-12-05 14:14:00
2022-12-05,2022-12-05T14:15:00,30,18649.3496,18667.1504,18641.6504,18667.1504,,10,2022-12-05 14:15:00,2022-12-05 14:24:00
2022-12-05,2022-12-05T14:25:00,31,18666.0,18688.4004,18666.0,18684.1504,,10,2022-12-05 14:25:00,2022-12-05 14:34:00
2022-12-05,2022-12-05T14:35:00,32,18683.5,18686.75,18653.9004,18664.0,,10,2022-12-05 14:35:00,2022-12-05 14:44:00
2022-12-05,2022-12-05T14:45:00,33,18663.9004,18685.9004,18663.6504,18682.3008,,10,2022-12-05 14:45:00,2022-12-05 14:54:00
2022-12-05,2022-12-05T14:55:00,34,18682.5508,18697.6504,18670.75,18690.5508,,10,2022-12-05 14:55:00,2022-12-05 15:04:00
2022-12-05,2022-12-05T15:05:00,35,18689.4004,18723.5996,18686.25,18716.0996,,10,2022-12-05 15:05:00,2022-12-05 15:14:00
2022-12-05,2022-12-05T15:15:00,36,18715.9004,18718.75,18692.8008,18692.8008,,10,2022-12-05 15:15:00,2022-12-05 15:24:00
2022-12-05,2022-12-05T15:25:00,37,18692.5508,18695.9004,18685.9004,18694.0508,,5,2022-12-05 15:25:00,2022-12-05 15:29:00
2022-12-06,2022-12-06T09:15:00,0,18600.6504,18636.1992,18584.0996,18584.0996,,10,2022-12-06 09:15:00,2022-12-06 09:24:00
2022-12-06,2022-12-06T09:25:00,1,18585.25,18613.5508,18579.1992,18596.9004,,10,2022-12-06 09:25:00,2022-12-06 09:34:00
2022-12-06,2022-12-06T09:35:00,2,18596.0508,18604.3008,18590.9492,18593.4492,,10,2022-12-06 09:35:00,2022-12-06 09:44:00
2022-12-06,2022-12-06T09:45:00,3,18593.5,18635.4004,18590.8008,18631.1992,,10,2022-12-06 09:45:00,2022-12-06 09:54:00
2022-12-06,2022-12-06T09:55:00,4,18631.5508,18640.1504,18612.6992,18621.9492,,10,2022-12-06 09:55:00,2022-12-06 10:04:00
2022-12-06,2022-12-06T10:05:00,5,18622.3496,18637.1504,18621.0,18635.75,,10,2022-12-06 10:05:00,2022-12-06 10:14:00
2022-12-06,2022-12-06T10:15:00,6,18635.1992,18637.0508,18620.3008,18628.6504,,10,2022-12-06 10:15:00,2022-12-06 10:24:00
2022-12-06,2022-12-06T10:25:00,7,18627.9004,18633.9004,18625.9004,18630.4004,,10,2022-12-06 10:25:00,2022-12-06 10:34:00
2022-12-06,2022-12-06T10:35:00,8,18629.8496,18643.75,18626.0508,18634.5,,10,2022-12-06 10:35:00,2022-12-06 10:44:00
2022-12-06,2022-12-06T10:45:00,9,18634.5508,18648.0508,18629.5,18639.5,,10,2022-12-06 10:45:00,2022-12-06 10:54:00
2022-12-06,2022-12-06T10:55:00,10,18639.1992,18641.5508,18615.0,18619.0508,,10,2022-12-06 10:55:00,2022-12-06 11:04:00
2022-12-06,2022-12-06T11:05:00,11,18618.5996,18618.5996,18602.4004,18607.0996,,10,2022-12-06 11:05:00,2022-12-06 11:14:00
2022-12-06,2022-12-06T11:15:00,12,18607.1992,18618.9004,18607.0996,18616.8496,,10,2022-12-06 11:15:00,2022-12-06 11:24:00
2022-12-06,2022-12-06T11:25:00,13,18616.1992,18621.5,18609.6504,18620.8496,,10,2022-12-06 11:25:00,2022-12-06 11:34:00
2022-12-06,2022-12-06T11:35:00,14,18620.8496,18624.3496,18606.8496,18608.5996,,10,2022-12-06 11:35:00,2022-12-06 11:44:00
2022-12-06,2022-12-06T11:45:00,15,18608.8008,18610.3496,18604.1992,18608.1992,,10,2022-12-06 11:45:00,2022-12-06 11:54:00
2022-12-06,2022-12-06T11:55:00,16,18608.1504,18612.6504,18599.3008,18609.3008,,10,2022-12-06 11:55:00,2022-12-06 12:04:00
2022-12-06,2022-12-06T12:05:00,17,18609.6504,18611.9004,18602.8008,18604.5,,10,2022-12-06 12:05:00,2022-12-06 12:14:00
2022-12-06,2022-12-06T12:15:00,18,18604.4004,18607.9004,18600.6504,18604.6992,,10,2022-12-06 12:15:00,2022-12-06 12:24:00
2022-12-06,2022-12-06T12:25:00,19,18604.5508,18617.3496,18602.6504,18604.9492,,10,2022-12-06 12:25:00,2022-12-06 12:34:00
2022-12-06,2022-12-06T12:35:00,20,18605.3496,18605.8008,18590.3496,18594.0,,10,2022-12-06 12:35:00,2022-12-06 12:44:00
2022-12-06,2022-12-06T12:45:00,21,18594.3008,18598.1992,18585.6504,18593.25,,10,2022-12-06 12:45:00,2022-12-06 12:54:00
2022-12-06,2022-12-06T12:55:00,22,18593.3008,18614.4004,18587.1504,18605.3496,,10,2022-12-06 12:55:00,2022-12-06 13:04:00
2022-12-06,2022-12-06T13:05:00,23,18605.3496,18617.1992,18605.3496,18615.1504,,10,2022-12-06 13:05:00,2022-12-06 13:14:00
2022-12-06,2022-12-06T13:15:00,24,18614.9492,18619.5508,18606.5,18608.5,,10,2022-12-06 13:15:00,2022-12-06 13:24:00
2022-12-06,2022-12-06T13:25:00,25,18608.25,18624.9492,18604.0508,18624.5508,,10,2022-12-06 13:25:00,2022-12-06 13:34:00
