date,ClientType,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts,Total Short Contracts
2023-08-25,Pro,42220,42631,486494,216567,1285422,1287373,1445664,1163346,485304,568884,981416,383600,4155696,4233224
2023-08-25,TOTAL,418436,418436,3308936,3308936,7059621,5819126,7059621,5819126,2227092,1110373,2227092,1110373,19943584,19943584
2023-08-28,Client,243416,179896,1556360,220507,5160641,4852322,5311509,5233082,1621379,493220,942760,664245,13927338,12551999
2023-08-28,DII,46908,67298,125756,1591581,0,126892,0,0,0,0,183804,0,299556,1842683
2023-08-28,FII,97955,128913,1164188,1292882,1047162,1323333,804981,924614,69017,72765,98316,53006,3774420,3302712
2023-08-28,Pro,40106,52278,478890,220224,1362150,1496229,1453462,1641080,489534,548262,955050,396996,4415170,4719090
2023-08-28,TOTAL,428385,428385,3325194,3325194,7569952,7798776,7569952,7798776,2179930,1114247,2179930,1114247,22416484,22416484
2023-08-29,Client,229918,174686,1542870,214181,5133621,4438686,5344956,4996942,1521484,487947,897101,640569,13354526,12268435
2023-08-29,DII,46899,67569,125921,1597762,0,135701,0,0,0,0,186474,0,308521,1851805
2023-08-29,FII,115100,137937,1165080,1261727,1264217,1359671,914008,847190,62887,67570,96475,50503,4034525,3307840
2023-08-29,Pro,34282,46007,465373,225574,1300154,1317696,1439028,1407622,497373,538028,901694,402473,4152906,4422398
2023-08-29,TOTAL,426199,426199,3299244,3299244,7697992,7251754,7697992,7251754,2081744,1093545,2081744,1093545,21850478,21850478
2023-08-30,Client,216112,170006,1527363,212647,6756921,4463457,6597010,4983015,1329804,450630,806979,605929,14744287,13375586
2023-08-30,DII,46915,67569,123994,1598200,0,100592,0,0,0,0,175613,0,271501,1841382
2023-08-30,FII,123873,147971,1159019,1233047,1384252,1256467,1118663,857849,51779,60010,84263,40672,4035400,3482466
2023-08-30,Pro,38753,40107,452679,219161,1881437,1481828,2306936,1461479,493088,534556,807816,398595,4882340,5234094
2023-08-30,TOTAL,425653,425653,3263055,3263055,10022610,7302343,10022610,7302343,1874671,1045196,1874671,1045196,23933528,23933528
2023-08-31,Client,189698,186308,1528285,174746,2766630,2207427,2841036,2711377,647619,207146,382361,347879,7546806,6643706
2023-08-31,DII,46373,67569,103382,1597902,0,66190,0,0,0,0,10110,0,215945,1675581
2023-08-31,FII,85391,83697,1087781,1229819,618376,792077,458763,470279,6230,17407,22694,7620,2607262,2272872
2023-08-31,Pro,60798,44686,402576,119557,1059289,1149912,1144497,1033950,137316,251855,376000,120909,3061746,2839599
2023-08-31,TOTAL,382260,382260,3122024,3122024,4444295,4215606,4444296,4215606,791165,476408,791165,476408,13431758,13431758
2023-09-01,Client,189422,174304,1548349,183055,3726293,4373248,3997402,4681456,747555,288131,473884,408408,10872999,9918508
2023-09-01,DII,46206,67562,110056,1612436,0,75596,0,0,0,0,47367,0,231858,1727365
2023-09-01,FII,83804,80595,1102811,1224250,824014,1088340,678139,811924,25083,30792,43636,20289,3154844,2858833
2023-09-01,Pro,43173,40144,394729,136204,1368823,1510671,1243589,1554476,249986,305533,457737,195759,3872914,3627909
2023-09-01,TOTAL,362605,362605,3155945,3155945,5919130,7047855,5919130,7047855,1022624,624456,1022624,624456,18132615,18132615
2023-09-04,Client,190081,173495,1571862,191470,4755472,5679526,4858442,5742752,860802,338802,541347,454078,13396545,11961584
2023-09-04,DII,46170,67524,111758,1636756,0,80590,0,0,0,0,67190,0,238518,1771470
2023-09-04,FII,81814,76211,1097839,1208175,1014409,1135486,829221,874079,32154,37142,55707,28953,3398844,3072346
2023-09-04,Pro,38384,39219,406857,151915,1386458,1703587,1468675,1982358,305416,356282,534128,249195,4196984,4425491
2023-09-04,TOTAL,356449,356449,3188316,3188316,7156338,8599189,7156338,8599189,1198372,732226,1198372,732226,21230890,21230890
2023-09-05,Client,183517,174139,1590521,193383,4780605,5204731,5079801,5596643,952667,364912,588741,488671,13076953,12121378
2023-09-05,DII,45995,67524,113670,1637794,0,90790,0,0,0,0,87761,0,250455,1793079
2023-09-05,FII,81896,74515,1095624,1227715,1280491,1341799,838082,821873,36662,44503,64143,35363,3880975,3061691
