date,oc_pcr_oi,oc_pcr_doi,oc_pcr_near_atm,oc_maxpain_dist_pct,oc_put_wall_dist_pct,oc_call_wall_dist_pct,oc_wall_build_pct,oc_near_put_doi_pct,oc_near_call_doi_pct,oc_straddle_pct,oc_dte_actual,oc_is_expiry,oc_oi_total,spot
2023-11-03,0.792671,0.726003,0.683135,0.159121,0.159121,0.360883,0.572894,26.974145,28.138045,0.954468,6,0.000000,142697200.000000,19230.600000
2023-11-06,1.079049,17.512634,0.875085,0.318106,0.575682,0.454622,18.027010,87.012555,-7.524981,0.735637,3,0.000000,168377000.000000,19411.750000
2023-11-07,0.993011,0.358200,0.832284,0.292167,0.549810,0.480762,-10.803677,29.400973,51.752541,0.618858,2,0.000000,183285350.000000,19406.700000
2023-11-08,0.869218,0.587804,0.758819,0.223725,0.738036,0.290586,-2.233559,41.500114,53.196214,0.454393,1,0.000000,247519150.000000,19443.500000
2023-11-09,0.847469,0.785206,0.873131,-0.024233,0.233562,0.024233,-20.025540,40.391851,42.423463,0.036607,0,1.000000,330096450.000000,19395.300000
2023-11-10,0.879390,1.340774,0.779397,0.130500,0.130500,0.384292,2.487028,31.266612,30.138588,0.845030,6,0.000000,138307500.000000,19425.350000
2023-11-13,0.819281,-0.170587,0.759747,0.223982,0.223982,0.290328,-16.773908,14.286212,71.333137,0.634143,3,0.000000,171592800.000000,19443.550000
2023-11-15,1.169400,3.669670,0.967292,0.129349,0.383473,0.633022,10.558146,88.624270,19.009625,0.442684,1,0.000000,233268400.000000,19675.450000
2023-11-16,1.150148,1.066685,0.869729,0.076903,0.329873,0.176067,3.942658,54.242908,46.267068,0.112066,0,1.000000,284525700.000000,19765.200000
2023-11-17,0.870877,0.680567,0.838585,-0.092237,0.161161,0.852431,-3.173600,15.409346,24.717076,0.992307,6,0.000000,161515950.000000,19731.800000
2023-11-20,0.727026,0.069068,0.731471,-0.030466,3.523916,0.538235,-14.001323,5.253129,64.449698,0.834264,3,0.000000,181694400.000000,19694.000000
2023-11-21,0.886467,-3.835463,0.860612,-0.083909,0.421566,0.083909,20.145248,77.045845,-19.767428,0.631085,2,0.000000,191767100.000000,19783.400000
2023-11-22,0.986659,1.434261,0.835965,0.059813,0.059813,0.444936,1.450432,51.621490,44.651781,0.456293,1,0.000000,247157500.000000,19811.850000
2023-11-23,0.723766,0.276054,0.803984,0.010100,0.010100,0.242400,5.446686,32.918804,52.827320,0.024745,0,1.000000,340375650.000000,19802.000000
2023-11-24,0.853394,0.495466,0.827533,-0.026775,4.014711,0.531961,-3.133560,20.073097,37.810289,0.805266,6,0.000000,191864500.000000,19794.700000
2023-11-28,1.157493,9.234705,1.076076,0.199601,0.450987,0.554558,12.618688,81.242941,9.298495,0.629723,2,0.000000,231753750.000000,19889.700000
2023-11-29,1.522831,26.540497,1.203816,0.231880,0.480678,0.514515,21.259496,100.474753,2.218447,0.462267,1,0.000000,274955150.000000,20096.600000
2023-11-30,1.173131,7.155111,0.824128,0.164654,0.413000,0.083693,-3.281962,-37.292538,-8.883671,0.110763,0,1.000000,222996900.000000,20133.150000
2023-12-01,1.197558,1.443827,0.890239,0.335013,1.321795,3.612116,-1.349888,25.932083,8.931359,1.234711,6,0.000000,148533800.000000,20267.900000
2023-12-04,1.323870,1.973519,0.805147,0.661291,0.902991,1.514009,16.030166,82.343300,-0.472913,0.986619,3,0.000000,187610750.000000,20686.800000
2023-12-05,1.296410,1.180800,0.911920,0.743703,0.743703,0.694794,1.921534,47.119014,7.483234,0.793331,2,0.000000,229428900.000000,20855.100000
2023-12-06,1.061271,0.397137,0.731643,0.418862,0.657665,0.297549,2.520928,48.020854,51.566765,0.543756,1,0.000000,278849200.000000,20937.700000
2023-12-07,1.042980,0.975585,0.984332,0.005502,0.005502,0.233719,18.300767,59.342054,49.316176,0.028467,0,1.000000,351382500.000000,20901.150000
2023-12-08,0.977895,0.632604,0.959863,0.330958,4.622927,0.145927,-0.662594,17.419297,19.814709,1.014574,6,0.000000,149269750.000000,20969.400000
2023-12-11,0.927908,0.697465,0.867700,0.224317,0.462445,0.013811,-1.904575,30.326198,37.479915,0.864167,3,0.000000,177058100.000000,20997.100000
2023-12-12,0.695307,-0.162523,0.767012,-0.208549,0.030613,0.447710,-26.104123,5.032911,74.034222,0.815540,2,0.000000,197913150.000000,20906.400000
2023-12-13,0.777303,1.216051,0.717295,0.125918,2.037383,0.351949,6.118008,41.709369,50.752302,0.489813,1,0.000000,246261400.000000,20926.350000
2023-12-14,1.006034,-13.719705,0.706389,0.154371,0.154371,0.081670,31.906660,144.648869,20.170614,0.129823,0,1.000000,273636750.000000,21182.700000
2023-12-15,1.447380,1.879021,1.109977,0.497049,0.730077,2.532315,7.729800,36.417420,9.415884,1.151391,6,0.000000,165662150.000000,21456.650000
2023-12-18,0.934512,-0.103912,0.923379,0.087074,0.553956,0.379809,-11.008506,9.256580,43.549807,0.953842,3,0.000000,195619450.000000,21418.650000
2023-12-19,0.986561,1.596355,0.921683,0.247517,0.247517,0.218616,13.053228,50.632993,23.893322,0.683584,2,0.000000,218028850.000000,21453.100000
2023-12-20,0.459889,-0.234666,0.645955,-0.235696,0.709924,1.654125,-2.214384,-17.058836,47.274829,0.636402,1,0.000000,281722550.000000,21150.150000
2023-12-21,0.984650,-2.044911,0.802696,0.023759,0.023759,1.152432,16.154749,35.954845,1.664537,0.045636,0,1.000000,316649700.000000,21255.050000
2023-12-22,1.119647,1.529082,1.080896,0.465587,1.636580,3.047392,-2.058604,23.969458,9.949574,1.193476,6,0.000000,227549225.000000,21349.400000
2023-12-26,1.180777,1.436398,0.947457,0.426046,0.659240,2.605480,4.334970,32.430138,20.988420,0.848594,2,0.000000,290097525.000000,21441.350000
2023-12-27,1.408738,-18.489190,0.893136,0.714624,0.714624,1.594338,18.540125,97.179859,1.631903,0.586476,1,0.000000,316751050.000000,21654.750000
2023-12-28,1.239673,4.062748,0.911215,0.361362,0.131780,0.097802,24.966704,49.141081,-3.821429,0.138208,0,1.000000,276881150.000000,21778.700000
2023-12-29,0.919601,0.669928,0.936571,0.144491,1.064819,1.236000,-1.288134,17.248658,20.292796,1.256017,6,0.000000,155265650.000000,21731.400000
2024-01-01,0.987289,1.293063,0.971417,-0.037255,0.192715,1.187109,5.024265,31.988358,23.605531,0.981745,3,0.000000,196323400.000000,21741.900000
2024-01-02,0.752498,-0.079589,0.727144,-0.157852,3.073046,0.619409,-9.762346,-8.070160,72.424421,0.807725,2,0.000000,221980400.000000,21665.800000
2024-01-03,0.608864,0.245575,0.703877,-0.151738,0.080633,2.243074,-3.071355,22.553865,72.142101,0.531664,1,0.000000,284358400.000000,21517.350000
2024-01-04,0.890078,23.486520,0.838797,0.039707,0.039707,1.114569,29.688705,99.137495,28.788046,0.026087,0,1.000000,338218950.000000,21658.600000
2024-01-05,0.877323,0.690303,0.843848,0.049745,3.273947,3.635057,-1.375966,16.025433,22.031734,1.024836,6,0.000000,149616700.000000,21710.800000
2024-01-08,0.595382,-0.104149,0.708530,-0.171989,2.384605,0.869242,-11.797985,-4.173921,67.726442,0.942918,3,0.000000,178392550.000000,21513.000000
2024-01-09,0.646376,3.986031,0.722533,-0.255978,2.528911,0.720126,-13.600724,93.111833,26.366269,0.786267,2,0.000000,186905700.000000,21544.850000
2024-01-10,0.925002,3.016091,0.854108,0.086499,0.549062,0.838626,4.957876,55.393351,31.251214,0.588611,1,0.000000,247655500.000000,21618.700000
2024-01-11,0.724985,0.356425,0.669867,-0.012935,0.218042,0.012935,-15.457323,28.778432,57.439659,0.038573,0,1.000000,342360450.000000,21647.200000
2024-01-12,1.410045,2.200195,1.110061,0.203475,0.888577,2.765300,4.007892,32.822736,8.853282,1.216741,6,0.000000,184495950.000000,21894.550000
2024-01-15,1.531842,2.800230,0.980426,0.441001,11.075712,1.821703,5.618519,59.684163,-2.372625,1.007356,3,0.000000,212431250.000000,22097.450000
2024-01-16,1.119434,-0.302986,0.887498,0.146603,0.146603,2.122792,-7.739970,-9.334751,49.117507,0.809266,2,0.000000,229387200.000000,22032.300000
2024-01-17,0.532340,-0.393194,0.680867,-0.593595,2.651360,1.057160,-9.788291,-17.989408,66.051808,0.743326,1,0.000000,271046650.000000,21571.950000
2024-01-18,0.960702,-8.581080,1.129845,0.057077,0.057077,0.175890,13.380756,52.366053,41.919879,0.045895,0,1.000000,331247250.000000,21462.250000
2024-01-19,0.843017,1.012648,0.815191,0.103596,5.190913,4.058754,-0.338417,27.237156,18.357717,1.376582,6,0.000000,199621300.000000,21622.400000
2024-01-23,0.610439,0.130424,0.866595,-0.523570,3.478539,3.584007,-4.556635,-12.966684,70.817282,1.137776,2,0.000000,256840500.000000,21238.800000
2024-01-24,0.814256,-2.856994,0.743725,0.018412,2.115927,2.545219,0.136894,60.430039,4.779153,0.731800,1,0.000000,273282600.000000,21453.950000
2024-01-25,0.678529,4.299803,0.725446,0.246340,0.480504,0.221987,3.309203,-21.080609,55.503140,0.085236,0,1.000000,243361500.000000,21352.600000
2024-01-29,1.102211,1.734167,0.937768,0.633005,1.093037,3.507287,2.296719,33.042861,14.202579,1.611953,3,0.000000,142523050.000000,21737.600000
2024-01-30,0.635603,-0.242128,0.745639,-0.361954,2.425879,4.543702,-2.655477,-15.936660,32.947863,1.418310,2,0.000000,169837700.000000,21522.100000
2024-01-31,0.756707,1.607868,0.702110,0.348435,1.038862,3.563982,2.671992,35.728134,8.915942,1.181550,1,0.000000,208367000.000000,21725.700000
2024-02-01,0.711175,0.643691,0.771181,-0.011753,3.214433,0.011753,-8.546245,26.696284,32.400154,0.039406,0,1.000000,339911900.000000,21697.450000
2024-02-02,0.853590,1.051907,1.099536,-0.211405,3.906872,5.244854,1.256845,31.326832,6.708945,1.430872,6,0.000000,148171050.000000,21853.800000
2024-02-05,0.716621,0.315098,0.816628,-0.129985,3.544510,1.048609,-5.723560,0.521883,35.982298,1.318455,3,0.000000,184031600.000000,21771.700000
2024-02-06,0.994104,-4.665883,1.127293,0.134067,4.238146,2.601986,0.534609,62.923058,-15.427444,1.083933,2,0.000000,203298750.000000,21929.400000
2024-02-07,0.859030,0.287868,0.856035,0.139076,0.139076,1.684868,-9.567578,37.214298,84.760730,0.703358,1,0.000000,234349450.000000,21930.500000
2024-02-08,0.692142,0.207189,0.987626,-0.147574,0.082651,0.147574,-8.100635,32.518830,94.742631,0.068837,0,1.000000,286718800.000000,21717.950000
2024-02-09,0.775013,0.924643,0.805455,-0.080340,1.296913,0.998508,2.542394,17.153693,18.535599,1.412143,6,0.000000,141589750.000000,21782.500000
2024-02-12,0.645309,0.319952,0.774085,-0.388369,2.849966,1.776226,-1.884136,6.214182,44.470347,1.303430,3,0.000000,183563900.000000,21616.050000
2024-02-13,0.808289,-0.645769,0.743850,0.198912,3.418302,1.180826,5.576570,32.312962,-24.279484,1.014108,2,0.000000,179134150.000000,21743.250000
2024-02-14,1.201735,11.872447,0.896429,0.183379,3.846374,0.732370,1.137758,57.469070,21.706839,0.715429,1,0.000000,226152050.000000,21840.050000
2024-02-15,0.955210,0.423993,0.814361,0.049063,0.049063,0.179136,6.444608,50.856715,58.986762,0.059788,0,1.000000,294030500.000000,21910.750000
2024-02-16,1.108938,1.267551,1.073955,0.184658,4.721719,4.352403,-0.020909,25.097319,13.196730,1.382216,6,0.000000,146696850.000000,22040.700000
2024-02-19,1.187617,1.719360,0.978733,0.326594,0.552611,3.967725,3.316886,33.666386,14.320831,1.213484,3,0.000000,174685450.000000,22122.250000
2024-02-20,1.173633,1.057970,0.855262,0.436772,0.887284,3.617839,3.635540,46.684199,25.151816,0.974683,2,0.000000,194553200.000000,22196.950000
2024-02-21,0.698646,0.023949,0.648320,0.022897,2.516657,2.017452,-6.385183,3.014123,69.114981,0.705281,1,0.000000,259074450.000000,22055.050000
2024-02-22,0.895978,-4.937664,0.628430,0.303590,0.078542,0.146506,-10.680860,114.724499,29.711621,0.094970,0,1.000000,279389450.000000,22217.450000
2024-02-23,0.880727,0.532697,0.772169,0.507367,5.459489,3.544369,-4.246832,14.852962,24.712832,1.341800,6,0.000000,188978150.000000,22212.700000
2024-02-26,0.839359,0.611136,0.815059,0.099674,5.072089,3.968665,-2.246770,11.906040,43.756464,1.212365,3,0.000000,218322500.000000,22122.050000
2024-02-27,0.875538,1.340657,0.733485,0.443051,3.145955,3.611304,10.071794,40.075936,26.843619,0.970568,2,0.000000,239932850.000000,22198.350000
2024-02-28,0.518500,-0.183574,0.518158,-0.222540,2.055245,1.133654,-10.310092,-16.139068,62.801332,0.805425,1,0.000000,293047050.000000,21951.150000
2024-02-29,0.621587,0.162223,0.615359,-0.078243,0.376658,0.078243,-4.271012,16.329284,-16.844348,0.165584,0,1.000000,242713550.000000,21982.800000
2024-03-01,1.231686,1.962823,1.100244,0.621118,1.516423,2.960103,2.293158,35.414461,7.947804,1.408987,6,0.000000,171039750.000000,22338.750000
2024-03-04,1.255908,1.074025,0.929189,0.471311,0.917628,2.652908,2.860725,38.548965,31.239242,1.105304,3,0.000000,200251200.000000,22405.600000
2024-03-05,1.147687,11.218472,0.873648,0.251831,0.699132,2.879278,-1.512630,-31.208388,24.518670,0.846965,2,0.000000,188596000.000000,22356.300000
2024-03-06,1.328289,2.500031,0.934142,0.329491,2.109322,2.340255,3.046183,59.284942,25.287615,0.634955,1,0.000000,235968400.000000,22474.050000
