date,ClientType,Future Index Long,Future Index Short,Future Stock Long,Future Stock Short,Option Index Call Long,Option Index Put Long,Option Index Call Short,Option Index Put Short,Option Stock Call Long,Option Stock Put Long,Option Stock Call Short,Option Stock Put Short,Total Long Contracts,Total Short Contracts
2023-09-18,Pro,95578,86749,349326,337758,120346787,115230583,120572062,115129466,1718406,816122,1768088,807715,238556802,238701838
2023-09-18,TOTAL,220510,220510,800617,800617,194108244,189377586,194108244,189377586,3118854,1273223,3118854,1273223,388899034,388899034
2023-09-20,Client,208132,186308,365729,328217,102506529,108456094,101787619,108271206,1222676,445055,1158179,471430,213204215,212202959
2023-09-20,DII,80,756,39907,79749,0,0,0,21697,1945,0,3831,0,41932,106033
2023-09-20,FII,50989,76071,221764,233723,19503745,19511139,19935077,19867191,233639,121774,230617,126482,39643050,40469161
2023-09-20,Pro,148648,144714,415198,400909,209137804,189978267,209425382,189785406,1901035,1027194,1966668,996111,402608146,402719190
2023-09-20,TOTAL,407849,407849,1042598,1042598,331148078,317945500,331148078,317945500,3359295,1594023,3359295,1594023,655497343,655497343
2023-09-21,Client,238658,201895,364016,371176,65830243,71987941,65508465,71895641,1247981,517315,1206682,547622,140186154,139731481
2023-09-21,DII,40,3086,55200,47607,0,719,0,7740,392,0,3273,0,56351,61706
2023-09-21,FII,64091,75439,242045,250593,10774430,11520536,10964132,11668079,285167,150531,286556,150079,23036800,23394878
2023-09-21,Pro,143765,166134,437745,429630,124197013,114909399,124329089,114847135,2154670,1215991,2191699,1186136,243058583,243149823
2023-09-21,TOTAL,446554,446554,1099006,1099006,200801686,198418595,200801686,198418595,3688210,1883837,3688210,1883837,406337888,406337888
2023-09-22,Client,194506,184505,428868,416129,42648650,43096732,42538266,43083349,1268124,533916,1309961,521652,88170796,88053862
2023-09-22,DII,643,18,96992,100808,0,5781,0,0,1,0,5671,0,103417,106497
2023-09-22,FII,54320,64793,285888,275634,8162788,7833739,8235158,7874406,277700,149685,276373,149578,16764120,16875942
2023-09-22,Pro,134049,134202,459868,479045,69466137,66241573,69504151,66220070,2270649,1179366,2224469,1191737,139751642,139753674
2023-09-22,TOTAL,383518,383518,1271616,1271616,120277575,117177825,120277575,117177825,3816474,1862967,3816474,1862967,244789975,244789975
2023-09-25,Client,205705,186376,591929,594463,67978100,65527315,68116171,65331509,1289226,487065,1311438,472916,136079340,136012873
2023-09-25,DII,21653,21972,276016,286801,0,0,0,0,1200,0,1592,0,298869,310365
2023-09-25,FII,49324,66222,821487,794848,8545597,8239017,8505669,8284538,253242,123171,254406,123842,18031838,18029525
2023-09-25,Pro,126508,128620,544010,557330,129760232,119241403,129662089,119391688,2305349,1034082,2281581,1047560,253011584,253068868
2023-09-25,TOTAL,403190,403190,2233442,2233442,206283929,193007735,206283929,193007735,3849017,1644318,3849017,1644318,407421631,407421631
2023-09-26,Client,114453,111529,560637,543435,72674674,71734922,72396073,71755250,1143044,392931,1156981,398881,146620661,146362149
2023-09-26,DII,33396,35116,357132,356280,0,2000,0,0,3547,0,2552,0,396075,393948
2023-09-26,FII,41536,44999,923262,941387,10297961,11427362,10473508,11614835,177124,79517,175580,77331,22946762,23327640
2023-09-26,Pro,72760,70501,527955,527884,139258309,132705719,139361363,132499918,1913763,797454,1902365,793690,275275960,275155721
2023-09-26,TOTAL,262145,262145,2368986,2368986,222230944,215870003,222230944,215870003,3237478,1269902,3237478,1269902,445239458,445239458
2023-09-27,Client,216264,200815,636022,623510,70027001,68324685,70031496,68102321,1079282,406066,1179354,409746,140689320,140547242
2023-09-27,DII,29351,29588,407850,411549,0,52118,0,24500,4384,0,950,0,493703,466587
2023-09-27,FII,60105,73934,611886,607745,9354343,9259897,9323087,9282170,100691,55409,98434,53230,19442331,19438600
2023-09-27,Pro,141483,142866,560457,573411,121663886,113282385,121690647,113510094,1825463,796580,1731082,795079,238270254,238443179
2023-09-27,TOTAL,447203,447203,2216215,2216215,201045230,190919085,201045230,190919085,3009820,1258055,3009820,1258055,398895608,398895608
2023-09-28,Client,346564,333705,864177,827837,113629024,111841224,113438392,112206419,832691,367322,876539,399594,227881002,228082486
2023-09-28,DII,27857,24589,591163,589410,0,40463,0,16097,5339,0,0,0,664822,630096
2023-09-28,FII,80190,124629,469764,564418,18899611,15858389,18933438,15842378,31690,22229,25513,25490,35361873,35515866
2023-09-28,Pro,202386,174074,880524,823963,235457225,207729294,235614030,207404476,1437220,727137,1404888,691604,446433786,446113035
2023-09-28,TOTAL,656997,656997,2805628,2805628,367985860,335469370,367985860,335469370,2306940,1116688,2306940,1116688,710341483,710341483
2023-09-29,Client,175454,162254,300844,311154,46695558,41538136,46757635,41273225,702200,270820,714581,269454,89683012,89488303
2023-09-29,DII,4040,527,27491,32919,0,29022,0,0,0,0,9571,0,60553,43017
2023-09-29,FII,35411,43437,196568,178207,5624264,4965928,5761031,5160837,125556,72463,128242,67721,11020190,11339475
2023-09-29,Pro,124913,133600,365624,368247,80217815,74641865,80018971,74740889,1301717,657516,1277079,663624,157309450,157202410
2023-09-29,TOTAL,339818,339818,890527,890527,132537637,121174951,132537637,121174951,2129473,1000799,2129473,1000799,258073205,258073205
2023-10-03,Client,129592,111184,258159,242816,69032826,68058601,68723164,68052891,746534,235656,670427,251627,138461368,138052109
2023-10-03,DII,1020,30,23502,26553,0,1758,0,2500,0,0,22934,0,26280,52017
2023-10-03,FII,27424,48012,163150,189876,7757585,8729348,7728134,8627647,139158,64019,140142,65100,16880684,16798911
2023-10-03,Pro,68659,67469,323679,309245,125727062,117825937,126066175,117932606,1152900,556462,1205089,539410,245654699,246119994
2023-10-03,TOTAL,226695,226695,768490,768490,202517473,194615644,202517473,194615644,2038592,856137,2038592,856137,401023031,401023031
2023-10-04,Client,181277,186147,335100,287997,103258594,98319231,102996174,97905035,818411,303382,736967,337781,203215995,202450101
