rule,direction,entry_col,calls,post_entry_hit_rate,post_entry_avg_signed_ret_pct,post_entry_median_signed_ret_pct,oc_direction_n,oc_direction_hit_rate,cc_direction_n,cc_direction_hit_rate,avg_oc_signed_ret_pct,train_2017_2024_calls,val_2025_calls,confirm_2026_calls,train_2017_2024_post_hit_rate,val_2025_post_hit_rate,confirm_2026_post_hit_rate,train_2017_2024_oc_hit_rate,val_2025_oc_hit_rate,confirm_2026_oc_hit_rate
first60_ret_pct_fade_gt_0.3,DOWN,first60_close,355,41.690140845070424,-0.04544751492174986,-0.07362774578944498,327,15.29051987767584,329,24.012158054711247,-0.5651846659594872,282,42,31,40.42553191489361,40.476190476190474,54.83870967741935,15.32567049808429,15.384615384615385,14.814814814814813
gap_up_0.05_and_first15_up_0.15,UP,first15_close,285,51.92982456140351,0.02936028258532884,0.09063865389980122,255,75.68627450980392,264,87.5,0.3182790788848356,244,17,24,51.229508196721305,58.82352941176471,54.166666666666664,73.51598173515981,93.33333333333333,85.71428571428571
gap_pct_fade_lt_-0.35,UP,open,285,51.2280701754386,0.054747204407274604,0.07741998414923557,258,54.65116279069767,270,16.666666666666664,0.054747204407274604,222,24,39,48.64864864864865,70.83333333333334,53.84615384615385,53.03030303030303,69.56521739130434,54.054054054054056
gap_up_0.05_and_first15_up_0.05,UP,first15_close,486,51.23456790123457,-0.008504704952594026,0.06847375870816302,436,69.03669724770643,443,83.97291196388262,0.20035170143624415,413,39,34,50.363196125908,58.97435897435898,52.94117647058824,67.11590296495957,80.55555555555556,79.3103448275862
first60_ret_pct_fade_gt_0.15,DOWN,first60_close,662,40.78549848942598,-0.042819741001443735,-0.08189621779009572,604,20.033112582781456,611,24.713584288052374,-0.4231130356088258,534,69,59,39.70037453183521,39.130434782608695,52.54237288135594,19.672131147540984,20.0,23.52941176470588
first15_ret_pct_fade_lt_-0.08,UP,first15_close,996,43.07228915662651,-0.013059439979909588,-0.04336112321611517,896,30.02232142857143,872,41.74311926605505,-0.31079512387936065,832,97,67,43.269230769230774,35.051546391752574,52.23880597014925,30.758988015978694,20.689655172413794,34.48275862068966
gap_up_0.05_and_first15_up_0.1,UP,first15_close,372,52.956989247311824,0.022179042205619216,0.08665461208736414,335,73.73134328358208,340,86.76470588235294,0.2722196832107351,313,30,29,52.07667731629393,63.33333333333333,51.724137931034484,71.37809187279152,89.28571428571429,83.33333333333334
first30_ret_pct_trend_gt_0.1,UP,first30_close,724,49.72375690607735,0.006573396778248759,0.046671467154583965,645,72.71317829457364,657,69.10197869101978,0.31110657551502646,573,87,64,49.21465968586388,51.724137931034484,51.5625,71.81996086105676,75.9493670886076,76.36363636363637
first30_ret_pct_trend_gt_0.08,UP,first30_close,788,49.49238578680203,0.009585213068172086,0.04255424902169664,699,71.67381974248927,713,69.00420757363254,0.2966478467300551,628,92,68,49.044585987261144,51.08695652173913,51.470588235294116,70.78853046594982,74.69879518072288,75.86206896551724
first15_ret_pct_fade_gt_0.2,DOWN,first15_close,381,44.09448818897638,-0.029667577801120303,-0.02364818031329465,343,24.489795918367346,351,31.054131054131055,-0.3965271534884587,303,41,37,43.56435643564357,41.46341463414634,51.35135135135135,25.274725274725274,21.052631578947366,21.875
gap_pct_trend_lt_-0.05,DOWN,open,660,48.18181818181818,0.01998140849642881,0.01305781974322796,583,51.114922813036024,596,75.0,0.01998140849642881,495,85,80,47.67676767676768,48.23529411764706,51.24999999999999,50.56947608200456,52.702702702702695,52.85714285714286
first30_ret_pct_trend_gt_0.15,UP,first30_close,574,50.522648083623686,0.03105176600327665,0.0535395724074853,511,76.71232876712328,522,70.6896551724138,0.3824375532915784,451,72,51,50.332594235033255,51.388888888888886,50.98039215686274,76.30922693266832,77.27272727272727,79.54545454545455
first15_ret_pct_fade_gt_0.1,DOWN,first15_close,681,44.49339207048458,-0.008923314980100282,-0.04277407197605493,613,30.342577487765087,620,32.903225806451616,-0.27901635584674733,542,82,57,44.64944649446495,39.02439024390244,50.877192982456144,31.428571428571427,26.31578947368421,25.53191489361702
first30_ret_pct_trend_gt_0.05,UP,first30_close,870,50.0,0.0162666946535353,0.049684342932872355,772,70.98445595854922,783,69.98722860791827,0.28230420420309427,697,102,71,49.92826398852224,50.0,50.70422535211267,70.3883495145631,73.11827956989248,73.77049180327869
