feature,ic_cc_dev,ic_oc_dev,ic_cc_val,ic_oc_val,ic_cc_confirm,ic_oc_confirm,signacc_p50_dev,signacc_n_dev,signacc_p50_val,signacc_n_val,signacc_p50_confirm,signacc_n_confirm,abs_ic_dev
Pro_sput_rflow_sum2,0.0093,-0.0481,0.085,-0.0101,0.0559,0.0212,51.15,131,54.55,77,48.65,37,0.0093
Client_iput_rflow,-0.009,0.0814,-0.176,-0.1231,-0.0943,0.1117,48.91,137,38.18,110,44.44,63,0.009
Client_sput_dl,0.0086,-0.0903,0.0763,0.0273,-0.0643,-0.0656,50.74,136,53.66,82,40.82,49,0.0086
FII_iput_rflow_sum2,0.0085,0.001,0.188,0.1271,0.0197,-0.065,51.85,135,60.47,86,53.49,43,0.0085
DII_iput_rflow_sum3,0.0085,0.0342,-0.0347,-0.0605,-0.0138,-0.0325,45.74,129,46.32,95,59.38,64,0.0085
Pro_iput_rflow,0.0076,-0.0856,0.0716,0.0407,0.0858,-0.0785,52.14,140,56.67,90,50.82,61,0.0076
FII_scall_dl,0.0072,-0.0465,0.0275,0.0513,-0.0426,0.113,54.89,133,52.83,106,45.0,100,0.0072
FII_iput_dvol,-0.0072,0.0165,-0.1215,-0.0356,-0.051,0.1336,50.75,134,43.0,100,56.67,60,0.0072
DII_sfut_volshare,0.0068,0.0647,0.0128,-0.0066,0.0655,-0.0702,58.65,133,50.0,188,48.15,135,0.0068
FII_icall_rflow_sum5,-0.0066,-0.0232,-0.0267,-0.015,0.0478,-0.0712,53.44,131,49.46,93,55.56,54,0.0066
Pro_scall_dl,0.0063,-0.0766,0.1195,0.0808,-0.0352,0.0248,51.85,135,54.84,124,45.35,86,0.0063
DII_iput_qflow_sum2,-0.006,0.0368,-0.0245,-0.0466,-0.077,-0.0849,48.09,131,49.41,85,48.0,50,0.006
DII_iput_rflow_sum2,-0.0058,0.0319,-0.0377,-0.0331,-0.0272,-0.0429,49.62,131,50.51,99,55.74,61,0.0058
px_rv5,-0.0055,-0.0331,0.0095,-0.0234,0.1294,0.1441,56.92,130,51.04,96,51.65,91,0.0055
DII_sfut_dl,-0.0052,0.0278,0.0525,0.025,-0.0421,-0.0187,56.25,128,50.86,116,44.0,100,0.0052
DII_sfut_rflow_sum2,0.0048,-0.0058,0.0113,0.0253,-0.028,-0.0573,48.06,129,46.34,82,54.41,68,0.0048
Client_sfut_volshare,-0.0047,-0.0447,0.035,0.0129,-0.0967,-0.0487,59.54,131,46.15,13,,8,0.0047
Pro_ifut_volshare,-0.0045,0.0053,0.0883,0.0551,-0.0285,0.0078,57.97,138,53.49,86,47.06,34,0.0045
Client_scall_volshare,0.0041,-0.0386,0.0118,-0.082,-0.1212,-0.02,63.28,128,46.15,26,25.0,16,0.0041
DII_sfut_qflow_sum3,0.0038,-0.0257,-0.022,-0.0292,0.0024,-0.065,46.21,132,50.0,82,56.34,71,0.0038
Pro_sput_qflow_sum3,0.0038,-0.0223,0.1019,0.0151,0.0503,-0.0171,50.72,138,60.47,86,54.55,44,0.0038
DII_icall_dvol,0.0032,-0.0304,0.079,0.0663,0.0608,0.0256,3.77,265,14.29,196,42.65,136,0.0032
mkt_sput_dlogoi,-0.0029,-0.0819,0.0617,0.0572,-0.0936,0.031,53.03,132,51.58,95,38.89,72,0.0029
Pro_sput_rflow_sum3,-0.0029,-0.0199,0.0979,0.0154,0.0387,-0.0062,51.11,135,59.34,91,51.28,39,0.0029
Client_iput_rflow_sum3,0.0027,0.0443,-0.1125,-0.0551,-0.0619,0.0533,51.49,134,42.06,107,50.0,76,0.0027
DII_scall_dl,0.0023,0.0194,0.0446,0.06,-0.0581,0.1091,20.38,265,27.55,196,27.94,136,0.0023
FII_sfut_dl,-0.0022,-0.0,0.037,-0.006,0.0481,-0.0301,51.15,131,59.02,61,50.0,30,0.0022
FII_ifut_qflow_sum3,-0.0013,-0.003,-0.0084,-0.0593,-0.0307,-0.0798,52.38,126,50.0,96,50.63,79,0.0013
DII_icall_qflow,-0.0011,-0.0308,0.0567,0.0386,0.0674,0.0736,3.77,265,15.31,196,42.65,136,0.0011
DII_icall_rflow,-0.0011,-0.0308,0.0563,0.0383,0.0707,0.071,3.77,265,15.31,196,42.65,136,0.0011
DII_icall_dl,-0.0011,-0.0308,0.0522,0.0494,0.1213,0.1439,3.77,265,15.31,196,38.97,136,0.0011
Pro_iput_lvl,0.0011,0.0716,-0.0821,-0.0793,0.0051,0.1276,48.91,137,46.1,141,46.07,89,0.0011
Pro_ifut_dl,-0.001,0.0407,-0.0457,-0.0289,-0.0508,-0.025,50.76,132,46.85,111,42.65,68,0.001
DII_icall_ds,,,-0.0151,0.0364,0.0869,0.112,0.0,265,0.51,196,33.82,136,
DII_iput_ds,,,,,-0.0343,0.022,0.0,265,0.0,196,21.32,136,
DII_sput_ds,,,-0.0346,-0.0548,-0.0196,0.0281,0.0,265,5.1,196,46.32,136,
