variant,period,n,exact,baseline,coverage,hit_incl_flat,signacc,signacc_n
A6_threshold_050,dev2023_24,343,37.9,45.48,72.3,43.55,56.25,192
A6_threshold_050,val2025,248,37.9,39.52,72.98,43.65,54.86,144
A6_threshold_050,confirm2026,166,37.95,42.77,72.29,44.17,53.0,100
A6_threshold_050,full,757,37.91,42.14,72.52,43.72,55.05,436
A6b_threshold_020,dev2023_24,343,37.9,45.48,72.3,43.55,56.25,192
A6b_threshold_020,val2025,248,37.9,39.52,72.98,43.65,54.86,144
A6b_threshold_020,confirm2026,166,37.95,42.77,72.29,44.17,53.0,100
A6b_threshold_020,full,757,37.91,42.14,72.52,43.72,55.05,436
A6c_threshold_015,dev2023_24,343,37.9,45.48,72.3,43.55,56.25,192
A6c_threshold_015,val2025,248,37.9,39.52,72.98,43.65,54.86,144
A6c_threshold_015,confirm2026,166,37.95,42.77,72.29,44.17,53.0,100
A6c_threshold_015,full,757,37.91,42.14,72.52,43.72,55.05,436
A6d_threshold_005,dev2023_24,343,37.9,45.48,72.3,43.55,56.25,192
A6d_threshold_005,val2025,248,37.9,39.52,72.98,43.65,54.86,144
A6d_threshold_005,confirm2026,166,37.95,42.77,72.29,44.17,53.0,100
A6d_threshold_005,full,757,37.91,42.14,72.52,43.72,55.05,436
A7_no_conflict_rule,dev2023_24,343,37.9,45.48,72.3,43.55,56.25,192
A7_no_conflict_rule,val2025,248,37.9,39.52,72.98,43.65,54.86,144
A7_no_conflict_rule,confirm2026,166,37.95,42.77,72.29,44.17,53.0,100
A7_no_conflict_rule,full,757,37.91,42.14,72.52,43.72,55.05,436
