w_pro,w_fii,w_contra,dev_exact,dev_cov,dev_sign,val_exact,val_sign,conf_exact,conf_sign,conf_sign_n,dev_score
0.55,0.8,-0.25,31.2,36.44,62.11,35.48,57.95,28.92,49.23,65,49.745999999999995
0.5,0.0,0.2,39.07,76.97,56.86,39.52,54.19,37.35,51.89,106,49.744
0.25,0.0,0.1,39.07,76.97,56.86,39.52,54.19,37.35,51.89,106,49.744
0.6,0.0,0.25,39.07,76.97,56.86,39.11,53.9,37.35,51.89,106,49.744
0.75,0.0,0.3,39.07,76.97,56.86,39.52,54.19,37.35,51.89,106,49.744
0.35,0.4,-0.25,26.82,15.16,65.0,28.23,57.89,22.89,44.12,34,49.728
0.7,0.05,-0.0,38.48,76.38,57.21,40.32,55.7,35.54,49.51,103,49.718
0.9,0.0,0.15,38.48,76.38,57.21,38.31,53.9,36.14,50.48,105,49.718
1.0,0.0,0.15,38.48,76.38,57.21,37.9,53.59,36.14,50.96,104,49.718
0.75,0.05,-0.0,38.48,76.38,57.21,40.73,56.0,35.54,49.51,103,49.718
0.6,0.0,0.1,38.48,76.38,57.21,38.31,53.9,36.14,50.48,105,49.718
0.55,0.0,0.1,38.48,76.38,57.21,38.31,53.9,36.14,50.48,105,49.718
0.85,0.0,0.15,38.48,76.38,57.21,38.31,53.9,35.54,50.0,104,49.718
0.65,0.05,-0.0,38.48,76.38,57.21,39.92,55.41,35.54,50.5,101,49.718
0.8,0.05,-0.0,38.48,76.38,57.21,40.73,56.0,35.54,49.51,103,49.718
1.0,0.05,-0.0,38.48,76.38,57.21,40.32,56.0,35.54,51.0,100,49.718
0.3,0.0,0.05,38.48,76.38,57.21,38.31,53.9,36.14,50.48,105,49.718
0.9,0.05,-0.0,38.48,76.38,57.21,40.73,56.0,35.54,50.0,102,49.718
0.65,0.0,0.1,38.48,76.38,57.21,38.31,53.9,36.14,50.96,104,49.718
0.85,0.05,-0.0,38.48,76.38,57.21,40.73,56.0,35.54,50.0,102,49.718
0.95,0.05,-0.0,38.48,76.38,57.21,40.32,56.0,35.54,50.5,101,49.718
0.95,0.0,0.15,38.48,76.38,57.21,38.31,53.9,36.14,50.96,104,49.718
0.8,0.0,0.15,38.48,76.38,57.21,37.5,53.29,36.14,50.48,105,49.718
0.8,0.1,-0.05,37.32,72.01,57.98,38.71,54.35,33.73,52.17,92,49.715999999999994
0.45,0.65,-0.2,31.49,37.03,61.86,35.48,57.3,28.92,49.23,65,49.712
0.3,0.05,0.1,38.48,74.05,57.14,38.31,55.03,37.35,52.38,105,49.676
0.55,0.1,0.15,38.48,74.05,57.14,38.71,54.67,37.35,52.38,105,49.676
0.55,0.1,0.2,38.48,74.05,57.14,38.31,55.03,37.35,52.88,104,49.676
0.85,0.15,0.3,38.48,74.05,57.14,38.31,55.03,37.35,52.88,104,49.676
0.9,0.15,0.3,38.48,74.05,57.14,38.31,55.03,37.35,52.38,105,49.676
0.8,0.15,0.3,38.48,74.05,57.14,38.31,55.03,37.35,53.4,103,49.676
0.8,0.15,0.25,38.48,74.05,57.14,38.71,55.03,37.35,52.88,104,49.676
0.6,0.1,0.2,38.48,74.05,57.14,38.31,55.03,37.35,52.38,105,49.676
0.8,0.0,0.3,38.78,76.38,56.93,39.52,54.19,37.35,51.89,106,49.67
0.85,0.0,0.3,38.78,76.38,56.93,39.11,54.19,37.35,51.89,106,49.67
0.7,0.0,0.25,38.78,76.38,56.93,39.52,54.19,37.35,51.89,106,49.67
0.55,0.0,0.2,38.78,76.38,56.93,39.52,54.19,37.35,51.89,106,49.67
0.4,0.0,0.15,38.78,76.38,56.93,39.52,54.19,37.35,51.89,106,49.67
0.5,0.05,0.25,39.07,75.51,56.72,38.31,55.33,38.55,53.77,106,49.66
0.6,0.05,0.3,39.07,75.51,56.72,38.31,55.33,37.95,53.33,105,49.66
0.9,0.3,0.25,38.19,72.59,57.29,37.5,54.48,37.95,53.92,102,49.64999999999999
0.25,0.35,-0.1,31.78,39.94,61.54,35.48,56.67,30.12,51.47,68,49.636
0.5,0.7,-0.2,31.78,39.94,61.54,35.48,56.67,30.12,51.47,68,49.636
0.85,0.05,0.25,38.48,74.93,57.07,39.52,54.55,36.75,51.43,105,49.634
1.0,0.05,-0.05,37.9,74.34,57.44,41.53,56.46,35.54,50.52,97,49.623999999999995
0.95,0.05,-0.05,37.9,74.34,57.44,41.53,56.46,35.54,51.04,96,49.623999999999995
0.95,0.1,0.25,38.78,74.05,56.85,38.71,54.3,36.75,51.92,104,49.622
0.9,0.1,0.25,38.78,74.05,56.85,39.11,54.61,36.75,51.92,104,49.622
0.55,0.05,0.15,38.78,74.05,56.85,38.71,54.3,36.75,51.43,105,49.622
0.3,0.55,-0.15,31.49,35.57,61.7,35.48,57.3,29.52,50.0,68,49.616
0.15,0.0,0.05,38.48,75.8,57.0,39.11,54.19,37.35,51.89,106,49.592
0.95,0.0,0.3,38.48,75.8,57.0,38.71,53.9,36.75,51.43,105,49.592
0.45,0.0,0.15,38.48,75.8,57.0,39.11,54.19,37.35,51.89,106,49.592
0.9,0.0,0.3,38.48,75.8,57.0,39.11,54.19,37.35,51.89,106,49.592
0.65,0.0,0.2,38.48,75.8,57.0,38.71,53.9,36.75,51.43,105,49.592
0.6,0.0,0.2,38.48,75.8,57.0,39.11,54.19,37.35,51.89,106,49.592
0.75,0.0,0.25,38.48,75.8,57.0,39.11,54.19,37.35,51.89,106,49.592
0.3,0.0,0.1,38.48,75.8,57.0,39.11,54.19,37.35,51.89,106,49.592
