w_call,w_put,w_fut,dev_exact,dev_sign,val_sign,conf_sign,dev_score
0.9,0.3,0.3,39.65,56.65,52.32,50.51,49.849999999999994
0.3,0.1,0.1,39.65,56.65,52.32,50.51,49.849999999999994
0.7,0.1,0.2,40.23,56.25,51.59,47.17,49.842
0.9,0.2,0.3,40.23,56.25,52.29,48.0,49.842
0.8,0.2,0.3,39.94,56.44,52.0,50.0,49.839999999999996
0.4,1.0,1.0,37.32,58.15,55.56,56.44,49.818
0.2,0.5,0.5,37.32,58.15,55.56,56.44,49.818
1.0,0.4,0.3,39.65,56.59,52.32,50.51,49.814
0.1,0.8,0.8,38.48,57.37,58.04,56.57,49.81399999999999
0.7,0.3,0.3,38.48,57.36,52.7,52.08,49.80799999999999
0.8,0.1,0.2,40.23,56.19,51.61,47.71,49.806
0.8,0.2,0.9,37.61,57.92,51.45,51.96,49.79600000000001
0.6,0.9,0.8,38.19,57.53,57.04,54.64,49.794
0.4,0.9,0.8,38.19,57.53,55.97,57.43,49.794
0.1,0.9,0.8,39.07,56.92,57.75,57.58,49.78
0.1,1.0,0.9,39.07,56.92,57.75,57.14,49.78
1.0,0.2,0.6,39.36,56.72,52.6,50.51,49.775999999999996
0.8,0.0,0.5,39.36,56.72,51.59,51.49,49.775999999999996
0.5,0.1,0.3,39.36,56.72,52.6,50.51,49.775999999999996
0.5,0.9,1.0,37.9,57.69,56.72,56.0,49.774
0.4,0.7,0.9,37.9,57.69,55.56,56.44,49.774
0.8,0.1,0.8,37.9,57.67,50.69,50.52,49.762
0.9,0.1,0.9,37.9,57.67,50.69,50.52,49.762
0.8,0.0,0.6,38.78,57.07,50.65,50.98,49.754
0.8,0.3,0.4,38.78,57.07,52.38,53.19,49.754
0.4,0.0,0.3,38.78,57.07,50.65,50.98,49.754
0.1,0.7,0.7,38.78,57.07,58.45,56.57,49.754
0.3,0.7,0.6,38.19,57.45,56.3,57.43,49.745999999999995
0.5,0.2,0.8,37.9,57.63,52.94,54.9,49.738
0.2,0.0,0.8,40.23,56.06,48.15,54.29,49.728
0.1,0.0,0.4,40.23,56.06,48.15,54.29,49.728
0.9,0.3,0.7,38.48,57.22,52.08,54.26,49.724000000000004
1.0,0.3,0.7,38.48,57.22,51.72,53.61,49.724000000000004
0.1,0.8,0.7,39.36,56.63,58.04,57.58,49.722
0.6,0.9,1.0,37.61,57.78,57.97,54.55,49.712
0.7,0.8,0.8,38.19,57.38,55.22,55.45,49.70399999999999
0.6,0.7,0.7,38.19,57.38,55.56,55.45,49.70399999999999
0.1,0.6,0.6,39.07,56.77,58.74,56.57,49.69
0.4,0.9,0.9,37.32,57.92,56.82,56.44,49.68000000000001
0.3,0.1,0.8,37.9,57.53,50.0,55.66,49.678
0.9,0.5,1.0,38.48,57.14,51.85,56.86,49.676
0.4,0.2,0.8,37.61,57.71,52.24,56.19,49.67
0.1,0.6,0.5,39.65,56.35,57.45,57.58,49.67
0.2,0.1,0.4,37.61,57.71,52.24,56.19,49.67
0.4,0.1,0.9,37.61,57.69,50.7,55.14,49.658
0.3,0.1,0.4,37.32,57.87,52.63,53.47,49.64999999999999
0.6,0.2,0.8,37.32,57.87,52.63,53.47,49.64999999999999
0.6,0.1,0.1,40.23,55.92,51.9,48.11,49.644
0.1,1.0,1.0,38.48,57.07,58.33,58.0,49.634
0.1,0.9,0.9,38.48,57.07,58.33,57.58,49.634
0.7,0.1,0.7,37.9,57.45,50.35,50.52,49.629999999999995
0.9,0.0,0.8,37.9,57.44,50.0,50.51,49.623999999999995
0.8,0.0,0.7,37.9,57.44,50.34,51.0,49.623999999999995
1.0,0.1,0.9,38.78,56.85,50.0,50.52,49.622
0.4,0.9,1.0,37.61,57.61,57.14,55.45,49.61
0.4,0.1,1.0,38.19,57.22,50.69,54.72,49.608000000000004
0.8,0.3,0.5,38.19,57.22,52.05,54.17,49.608000000000004
0.5,0.2,0.2,39.36,56.44,53.02,51.02,49.608
1.0,0.4,0.4,39.36,56.44,53.02,51.02,49.608
0.5,0.1,0.8,36.73,58.19,51.09,53.85,49.605999999999995
0.5,0.8,1.0,37.32,57.78,56.93,56.0,49.596000000000004
1.0,0.4,0.7,38.48,56.99,52.08,54.26,49.586
1.0,0.1,1.0,37.9,57.37,50.69,50.0,49.581999999999994
0.8,0.2,0.5,38.78,56.78,52.0,52.58,49.58
0.0,0.7,1.0,38.78,56.77,56.64,54.74,49.574
0.0,0.5,0.7,38.78,56.77,57.04,54.74,49.574
1.0,0.3,0.5,39.07,56.57,51.32,52.58,49.57
0.9,0.3,0.6,39.07,56.57,52.08,53.61,49.57
0.3,0.1,0.2,39.07,56.57,52.08,53.61,49.57
0.6,0.2,0.4,39.07,56.57,52.08,53.61,49.57
0.4,0.7,0.8,37.61,57.54,56.3,56.0,49.568
0.3,0.5,0.6,37.61,57.54,56.93,55.56,49.568
0.6,1.0,0.8,38.19,57.14,57.14,56.12,49.56
0.2,0.5,0.4,38.19,57.14,55.47,57.43,49.56
0.6,0.3,0.7,38.19,57.14,52.59,56.57,49.56
0.4,1.0,0.8,38.19,57.14,55.47,57.43,49.56
0.3,0.5,0.4,38.19,57.14,57.14,56.12,49.56
0.1,0.7,0.6,39.36,56.35,57.75,57.58,49.554
0.3,0.2,0.8,37.32,57.71,51.8,55.66,49.554
0.9,0.1,0.8,38.48,56.92,50.0,50.52,49.544
0.1,0.6,0.8,37.32,57.69,56.62,56.7,49.542
1.0,0.0,0.0,39.65,56.11,50.0,49.11,49.525999999999996
0.7,0.0,0.0,39.65,56.11,50.0,49.11,49.525999999999996
0.8,0.0,0.0,39.65,56.11,50.0,49.11,49.525999999999996
0.2,0.0,0.0,39.65,56.11,50.0,49.11,49.525999999999996
0.5,0.0,0.0,39.65,56.11,50.0,49.11,49.525999999999996
0.4,0.0,0.0,39.65,56.11,50.0,49.11,49.525999999999996
0.9,0.0,0.0,39.65,56.11,50.0,49.11,49.525999999999996
0.3,0.0,0.0,39.65,56.11,50.0,49.11,49.525999999999996
0.1,0.0,0.0,39.65,56.11,50.0,49.11,49.525999999999996
0.6,0.0,0.0,39.65,56.11,50.0,49.11,49.525999999999996
0.3,0.6,0.7,37.61,57.46,57.04,55.56,49.519999999999996
1.0,0.3,0.3,39.65,56.1,52.32,49.49,49.519999999999996
0.0,0.8,0.7,39.36,56.28,57.43,56.25,49.512
0.0,0.7,0.6,39.36,56.28,57.72,56.25,49.512
0.0,0.9,0.8,39.36,56.28,57.05,56.25,49.512
0.5,0.7,0.8,37.32,57.63,57.35,55.0,49.506
0.4,0.2,0.9,37.32,57.63,52.99,55.66,49.506
0.9,0.4,0.7,38.48,56.84,51.8,55.21,49.495999999999995
0.0,0.2,0.3,38.48,56.84,56.34,54.17,49.495999999999995
0.1,0.5,0.5,38.48,56.84,58.27,57.14,49.495999999999995
0.0,0.6,0.9,38.48,56.84,56.34,54.17,49.495999999999995
0.2,1.0,1.0,38.48,56.84,58.27,57.14,49.495999999999995
0.0,0.4,0.6,38.48,56.84,56.34,54.17,49.495999999999995
1.0,0.8,0.6,37.9,57.22,53.62,53.0,49.492000000000004
0.5,0.4,0.3,37.9,57.22,53.62,53.0,49.492000000000004
1.0,0.1,0.2,40.23,55.66,50.63,47.22,49.48799999999999
0.8,0.3,0.2,39.65,56.04,53.02,50.51,49.483999999999995
0.9,0.3,0.4,39.36,56.22,52.0,51.02,49.476
1.0,0.3,0.4,39.36,56.22,52.35,51.02,49.476
0.1,0.7,0.9,37.61,57.38,57.14,56.7,49.471999999999994
0.7,0.2,0.5,38.19,56.99,52.03,53.12,49.47
0.2,0.1,0.5,37.32,57.54,51.08,55.66,49.452
0.4,0.2,1.0,37.32,57.54,51.08,55.66,49.452
0.0,0.4,0.9,37.32,57.53,54.48,53.54,49.446
0.4,0.3,0.2,37.9,57.14,54.35,52.53,49.444
0.8,0.9,0.9,37.9,57.14,55.22,55.45,49.444
0.9,1.0,1.0,37.9,57.14,54.48,55.45,49.444
0.8,0.6,0.4,37.9,57.14,54.35,52.53,49.444
0.8,0.4,0.9,37.9,57.14,51.85,56.57,49.444
