participants,flow,instruments,thr,dev_exact,dev_cov,dev_sign,val_exact,val_cov,val_sign,conf_exact,conf_cov,conf_sign,conf_sign_n,dev_score
fii_only,r,c45p45f1,0.05,38.19,77.55,51.9,41.13,83.47,54.82,37.35,91.57,49.59,123,45.045
pro_only,q,fut_only,0.025,39.07,95.92,50.98,40.73,96.37,52.38,40.96,96.39,48.87,133,45.025
pf_6040,r,c3p3f4,0.125,33.24,60.35,56.77,35.89,57.66,53.85,34.34,65.66,52.81,89,45.005
pf_5050,r,c3p3f4,0.075,36.44,74.05,53.57,39.11,73.79,53.02,43.37,81.33,58.04,112,45.004999999999995
pf_5050,q,c4p4f2,0.1,33.82,62.68,56.17,36.29,65.73,54.62,36.75,66.87,52.69,93,44.995000000000005
pro_only,r,fut_only,0.075,38.78,93.29,51.21,41.53,90.73,53.33,39.76,92.17,48.82,127,44.995000000000005
fii_only,q,c3p3f4,0.15,36.44,68.22,53.55,39.92,64.92,51.82,43.98,72.29,58.25,103,44.995
pf_6040_c10neg,q,c2p2f6,0.1,31.49,51.31,58.46,32.26,48.79,52.04,31.33,60.84,51.85,81,44.975
pro_only,q,c2p2f6,0.125,36.73,69.97,53.19,37.1,71.77,53.52,35.54,72.89,48.51,101,44.959999999999994
pf_5050,r,c2p2f6,0.15,32.65,53.35,57.25,37.5,58.47,52.46,36.14,62.65,55.81,86,44.95
pf_4555_c10,r,c2p2f6,0.15,33.53,58.02,56.29,38.71,61.69,51.54,37.95,65.66,56.04,91,44.91
pro_only,r,c2p2f6,0.125,37.61,76.09,52.2,36.69,77.82,52.63,37.35,78.92,46.85,111,44.905
pf_6040,q,c4p4f2,0.125,32.94,59.77,56.86,35.48,58.47,54.7,34.94,61.45,52.94,85,44.9
pf_5050,q,c2p2f6,0.125,33.24,55.69,56.55,36.69,58.47,52.07,36.75,65.06,54.44,90,44.894999999999996
pf_6040,r,fut_only,0.125,34.99,68.51,54.75,34.27,69.35,51.85,31.93,68.67,48.91,92,44.870000000000005
pf_4555_c10,r,fut_only,0.1,36.73,82.8,53.0,35.89,81.45,50.31,39.76,79.52,54.13,109,44.864999999999995
fii_only,q,fut_only,0.15,37.03,85.42,52.68,38.71,81.45,50.92,45.18,89.16,55.65,124,44.855000000000004
pf_5050,r,fut_only,0.075,36.15,81.05,53.55,36.29,82.66,51.88,38.55,78.92,52.78,108,44.849999999999994
fii_only,q,c3p3f4,0.2,33.53,55.69,56.16,39.11,54.03,52.99,39.76,66.27,55.32,94,44.845
pf_6040_c10neg,q,c3p3f4,0.1,31.2,51.6,58.46,36.29,53.23,55.96,33.73,60.24,51.81,83,44.83
pf_4555_c10,q,opt_only,0.1,35.86,69.39,53.8,37.9,72.58,55.24,38.55,71.69,53.0,100,44.83
pro_only,r,fut_only,0.0,39.07,100.0,50.57,41.53,100.0,52.55,40.36,100.0,49.26,136,44.82
pro_only,q,fut_only,0.0,39.07,100.0,50.57,41.53,100.0,52.55,40.36,100.0,49.26,136,44.82
pro_only,r,c2p2f6,0.075,37.61,83.97,52.02,37.9,85.89,50.89,37.35,89.16,47.54,122,44.815
pf_6040,r,c2p2f6,0.15,31.49,50.73,58.14,33.47,49.6,52.48,32.53,60.24,53.09,81,44.815
pro_only,q,c45p45f1,0.15,35.57,70.26,54.05,37.5,69.35,53.24,31.33,66.27,50.0,88,44.81
pf_4555_c10,r,c4p4f2,0.15,34.11,58.89,55.48,35.89,57.26,54.31,36.14,62.65,54.02,87,44.795
pf_4555_c10,q,fut_only,0.075,37.32,83.97,52.25,35.08,79.03,50.0,40.36,83.73,54.39,114,44.785
pro_only,r,c3p3f4,0.125,36.15,72.89,53.37,38.31,68.95,55.07,33.13,70.48,46.39,97,44.76
pf_4555_c10,q,c45p45f1,0.125,33.53,61.52,55.97,36.69,64.11,55.91,35.54,64.46,52.81,89,44.75
pf_6040,q,c3p3f4,0.125,32.36,54.52,57.14,36.29,53.23,55.96,34.94,63.25,52.87,87,44.75
pro_only,q,c2p2f6,0.15,35.57,62.97,53.85,33.06,62.5,51.64,34.34,69.28,46.39,97,44.71
pf_5050,r,c4p4f2,0.1,36.15,69.68,53.23,38.71,68.95,55.8,39.16,72.89,54.46,101,44.69
v2_p0.53_f0.27_c0.20,r,opt_only,0.2,34.69,60.64,54.66,35.48,60.48,55.0,34.94,60.24,50.59,85,44.675
pf_5050,q,c45p45f1,0.1,34.69,65.6,54.65,36.69,68.15,54.07,36.75,69.28,52.08,96,44.67
pro_only,r,opt_only,0.2,35.28,70.55,54.05,34.68,62.5,52.42,34.94,62.05,50.57,87,44.665
pro_only,q,c45p45f1,0.2,33.53,60.06,55.77,34.27,56.05,53.57,32.53,53.61,52.7,74,44.650000000000006
fii_only,r,c4p4f2,0.15,35.28,54.81,54.0,37.5,58.06,54.17,36.75,66.27,54.95,91,44.64
pro_only,r,fut_only,0.15,37.03,84.26,52.25,37.9,80.65,52.2,37.35,80.12,48.65,111,44.64
pf_5050,r,c45p45f1,0.1,36.15,72.3,53.12,37.5,68.95,54.74,39.16,71.08,54.55,99,44.635
pf_6040,r,opt_only,0.075,36.44,83.38,52.75,41.53,81.05,54.6,39.16,80.72,53.64,110,44.595
pf_6040,r,c45p45f1,0.1,36.44,75.8,52.74,38.31,72.58,52.74,34.94,69.88,53.19,94,44.59
pf_6040,r,c45p45f1,0.125,34.69,68.22,54.49,35.89,65.73,55.04,35.54,65.06,52.22,90,44.59
pro_only,r,fut_only,0.125,37.9,88.05,51.28,39.52,84.68,53.29,38.55,83.73,49.14,116,44.59
v2_p0.53_f0.27_c0.20,r,c45p45f1,0.15,35.28,68.22,53.89,37.1,64.52,55.04,35.54,65.06,52.22,90,44.585
pro_only,r,c3p3f4,0.2,34.99,58.31,54.14,33.06,49.6,54.55,30.72,55.42,48.68,76,44.565
pro_only,q,fut_only,0.1,37.32,83.67,51.8,38.71,80.65,53.46,39.16,82.53,49.57,115,44.56
v2_p0.53_f0.27_c0.20,q,opt_only,0.125,35.57,69.1,53.55,37.1,71.37,52.82,36.14,71.08,51.02,98,44.56
fii_only,q,opt_only,0.025,37.03,81.92,52.07,41.53,82.66,58.02,40.96,92.77,53.6,125,44.55
pf_6040_c10neg,q,fut_only,0.125,32.65,53.94,56.43,30.24,52.42,51.49,28.92,60.24,49.37,79,44.54
pf_6040_c10neg,r,fut_only,0.125,33.82,57.73,55.26,32.66,60.89,52.54,33.13,63.86,54.12,85,44.54
pf_4555_c10,r,c4p4f2,0.125,35.28,65.01,53.76,35.89,65.73,53.85,35.54,68.07,52.69,93,44.519999999999996
pf_6040,q,c2p2f6,0.125,31.78,54.23,57.25,34.68,51.61,52.83,31.93,61.45,52.44,82,44.515
pf_5050,q,c45p45f1,0.075,36.15,72.59,52.85,37.9,75.0,54.05,39.16,77.11,53.77,106,44.5
pro_only,q,c3p3f4,0.1,34.99,71.72,54.01,36.69,70.56,53.96,36.14,74.1,48.54,103,44.5
pf_5050,r,c4p4f2,0.125,34.4,62.68,54.55,35.08,60.48,52.89,36.14,64.46,53.93,89,44.474999999999994
pf_6040,r,c4p4f2,0.15,33.53,60.35,55.41,36.29,55.24,56.25,32.53,60.84,50.6,83,44.47
pf_6040,q,c2p2f6,0.1,33.24,61.22,55.7,35.48,64.92,52.71,36.14,69.88,55.32,94,44.47
pf_6040_c10neg,r,fut_only,0.05,36.44,84.55,52.49,37.9,83.87,52.44,38.55,83.13,53.57,112,44.465
pf_4555_c10,q,c45p45f1,0.1,34.99,67.64,53.93,37.1,69.76,54.35,39.76,72.89,53.92,102,44.46
pro_only,r,c45p45f1,0.2,34.4,68.51,54.49,36.69,60.48,53.66,32.53,58.43,51.25,80,44.445
pf_4555_c10,q,opt_only,0.075,35.86,76.09,53.0,39.52,75.81,54.97,37.95,81.33,52.73,110,44.43
pf_6040_c10neg,r,c3p3f4,0.125,31.49,50.44,57.36,34.68,50.0,53.4,30.12,54.82,50.0,74,44.425
pf_4555_c10,r,c3p3f4,0.1,34.4,69.39,54.44,39.11,70.16,53.15,42.17,76.51,56.07,107,44.42
pro_only,r,opt_only,0.15,34.99,76.97,53.77,37.1,72.18,53.15,36.14,69.88,52.08,96,44.38
pf_6040_c10neg,r,c45p45f1,0.125,33.24,59.77,55.48,35.89,56.45,56.64,33.13,59.04,50.0,82,44.36
pf_5050,r,opt_only,0.075,35.86,80.47,52.86,39.92,77.82,53.85,36.75,79.52,50.93,108,44.36
pf_4555_c10,r,c3p3f4,0.125,34.11,62.1,54.6,38.31,63.31,52.67,38.55,68.67,54.17,96,44.355000000000004
pf_6040_c10neg,r,c45p45f1,0.1,34.11,67.06,54.6,36.69,62.9,56.0,36.14,64.46,52.22,90,44.355000000000004
pf_5050,q,c2p2f6,0.1,32.94,64.72,55.76,39.52,68.15,51.41,39.16,69.88,55.67,97,44.349999999999994
pf_6040_c10neg,q,c4p4f2,0.1,31.78,57.73,56.85,35.89,55.24,53.98,33.73,59.64,52.44,82,44.315
pf_4555_c10,r,opt_only,0.1,35.86,75.51,52.76,38.31,72.98,54.48,38.55,74.1,52.43,103,44.31
pf_4555_c10,q,c2p2f6,0.125,33.53,60.64,55.06,38.31,62.1,51.54,38.55,68.67,55.79,95,44.295
fii_only,q,c45p45f1,0.1,33.24,53.35,55.32,33.87,55.65,57.41,34.34,67.47,52.75,91,44.28
v2_p0.53_f0.27_c0.20,r,c45p45f1,0.2,33.53,57.43,54.97,34.68,55.24,58.33,33.13,60.24,50.6,83,44.25
pf_4555_c10,q,c4p4f2,0.075,36.15,73.18,52.31,38.31,77.02,52.94,42.17,81.93,55.75,113,44.230000000000004
v2_p0.53_f0.27_c0.20,q,fut_only,0.125,34.11,68.22,54.24,35.08,65.32,52.71,33.13,69.28,50.54,93,44.175
pro_only,q,opt_only,0.2,34.11,63.27,54.22,33.47,60.48,50.83,33.73,59.64,50.6,83,44.165
pf_4555_c10,q,c2p2f6,0.15,31.78,53.94,56.52,36.29,55.24,52.17,36.14,63.25,53.41,88,44.150000000000006
pf_5050,r,c3p3f4,0.1,33.82,65.01,54.44,37.9,66.53,53.33,40.96,73.49,55.34,103,44.129999999999995
fii_only,r,c3p3f4,0.2,34.4,64.14,53.85,40.32,58.87,52.76,37.95,68.67,54.74,95,44.125
pro_only,r,fut_only,0.1,37.61,90.96,50.62,40.73,87.1,53.18,38.55,87.35,49.17,120,44.114999999999995
pf_6040_c10neg,r,fut_only,0.1,34.4,65.01,53.8,33.06,68.15,51.91,35.54,70.48,52.08,96,44.099999999999994
pf_4555_c10,q,fut_only,0.15,34.11,65.89,54.07,33.87,62.1,51.22,36.14,69.88,52.08,96,44.09
fii_only,q,c2p2f6,0.2,34.69,65.89,53.45,39.11,62.9,50.0,41.57,72.89,56.86,102,44.07
pf_5050,r,opt_only,0.1,35.28,74.34,52.82,37.5,71.77,54.23,37.95,72.89,52.48,101,44.05
pf_6040,q,fut_only,0.125,33.53,63.56,54.55,32.66,61.29,52.1,32.53,66.87,50.0,90,44.04
pf_4555_c10,r,fut_only,0.125,35.28,75.22,52.79,34.68,74.6,52.08,38.55,74.7,53.4,103,44.035
pf_5050,q,opt_only,0.15,32.65,53.94,55.32,33.87,56.85,54.46,32.53,59.04,50.62,81,43.985
pro_only,r,c2p2f6,0.05,37.32,90.38,50.63,37.9,92.34,49.72,37.95,92.77,48.41,126,43.975
fii_only,q,fut_only,0.2,34.99,78.72,52.94,37.9,74.6,49.34,40.96,81.33,54.46,112,43.965
pf_5050,r,c45p45f1,0.125,34.4,65.31,53.49,35.89,63.71,54.76,34.94,66.27,51.65,91,43.945
v2_p0.53_f0.27_c0.20,r,fut_only,0.15,33.82,67.06,54.02,36.29,66.94,53.38,33.13,66.87,49.45,91,43.92
pro_only,q,c4p4f2,0.2,33.53,57.14,54.3,34.27,49.19,55.0,31.93,50.6,55.07,69,43.915
pro_only,r,fut_only,0.2,35.57,77.26,52.22,36.69,74.6,52.38,37.35,74.7,48.57,105,43.894999999999996
pf_5050,r,c45p45f1,0.15,33.53,58.02,54.25,37.1,59.27,57.14,33.73,62.65,51.16,86,43.89
pro_only,q,fut_only,0.125,35.86,79.88,51.9,37.5,76.21,54.36,37.95,79.52,48.65,111,43.879999999999995
v2_p0.53_f0.27_c0.20,r,c4p4f2,0.2,32.36,53.35,55.4,35.08,50.81,56.31,32.53,56.02,51.95,77,43.879999999999995
pf_6040,r,opt_only,0.15,34.11,65.6,53.49,35.08,64.52,53.54,34.34,63.86,49.44,89,43.8
pf_5050,r,fut_only,0.125,33.53,66.47,54.07,31.45,70.16,50.38,37.35,68.67,56.99,93,43.8
pf_6040_c10neg,q,fut_only,0.075,34.11,73.18,53.44,33.06,70.16,51.11,37.95,74.1,54.46,101,43.775
pf_6040,r,c3p3f4,0.15,32.07,52.77,55.47,35.08,52.42,52.78,32.53,59.04,50.62,81,43.769999999999996
pf_4555_c10,r,c45p45f1,0.15,34.11,61.52,53.37,37.1,60.48,57.02,34.34,63.86,51.14,88,43.739999999999995
pf_5050,q,c3p3f4,0.125,32.07,53.64,55.4,35.48,55.24,53.1,35.54,62.65,52.87,87,43.735
pf_6040,r,opt_only,0.1,34.99,78.43,52.45,39.52,73.79,54.73,36.75,75.9,50.96,104,43.72
pf_6040,q,c45p45f1,0.125,32.65,61.81,54.72,35.48,65.73,54.26,33.13,62.65,51.76,85,43.685
pf_6040,r,fut_only,0.15,34.11,64.14,53.25,32.26,62.9,50.82,31.33,65.66,48.86,88,43.68
pf_6040_c10neg,r,fut_only,0.15,32.65,52.77,54.68,32.26,52.82,55.88,28.31,56.02,50.68,73,43.665
pf_6040,r,c45p45f1,0.15,32.94,61.81,54.37,36.69,59.27,57.63,34.34,63.25,51.72,87,43.655
pf_6040_c10neg,q,c45p45f1,0.1,32.36,59.48,54.9,35.89,62.1,55.28,33.73,60.84,51.19,84,43.629999999999995
pf_5050,q,opt_only,0.1,34.11,66.76,53.14,37.5,72.18,54.93,37.95,70.48,53.06,98,43.625
pf_4555_c10,q,c45p45f1,0.15,32.94,52.77,54.29,36.29,59.27,55.46,33.13,59.64,51.22,82,43.614999999999995
pf_6040,q,opt_only,0.125,33.24,63.56,53.94,35.48,67.74,53.38,33.73,66.87,48.91,92,43.59
pf_4555_c10,r,c45p45f1,0.125,34.69,68.51,52.49,37.1,65.73,54.96,36.14,67.47,52.69,93,43.59
pf_4555_c10,r,fut_only,0.15,33.82,69.39,53.33,34.68,66.94,51.52,37.95,71.08,54.08,98,43.575
pf_6040_c10neg,r,opt_only,0.1,34.4,70.26,52.72,36.69,67.34,53.73,35.54,68.67,50.53,95,43.56
pf_4555_c10,r,opt_only,0.15,34.11,63.56,52.98,34.27,63.31,53.23,35.54,66.27,51.09,92,43.545
pf_5050,r,opt_only,0.15,33.53,61.22,53.42,34.68,60.89,54.17,35.54,63.86,51.69,89,43.475
pf_5050,q,c45p45f1,0.125,32.65,58.02,54.3,36.29,64.52,54.69,34.34,61.45,51.76,85,43.474999999999994
pf_6040,q,fut_only,0.15,32.65,58.02,54.3,29.84,54.84,49.06,30.12,60.84,49.38,81,43.474999999999994
pf_6040,q,c4p4f2,0.15,31.2,51.02,55.73,35.48,52.82,56.07,31.33,57.23,50.0,78,43.464999999999996
pro_only,q,fut_only,0.2,34.69,68.8,52.2,35.08,67.34,53.03,34.94,65.06,49.45,91,43.445
pf_6040,q,c45p45f1,0.15,31.49,54.23,55.4,34.68,58.06,54.78,31.93,58.43,50.0,80,43.445
pf_6040_c10neg,r,c4p4f2,0.125,31.78,57.43,55.1,35.89,52.42,54.63,32.53,59.04,50.62,81,43.44
pf_4555_c10,r,opt_only,0.125,34.11,69.68,52.75,37.1,69.35,54.74,37.35,69.88,52.58,97,43.43
fii_only,r,opt_only,0.075,34.11,53.64,52.74,35.48,63.31,58.2,34.34,80.72,49.07,108,43.425
v2_p0.53_f0.27_c0.20,q,fut_only,0.15,32.94,64.72,53.89,33.87,60.89,52.5,33.73,62.05,51.76,85,43.415
pf_6040_c10neg,r,opt_only,0.075,34.11,79.01,52.71,40.32,75.0,54.97,37.35,75.3,50.96,104,43.41
pf_6040_c10neg,r,fut_only,0.075,34.69,74.93,52.04,35.48,77.02,52.35,36.14,75.3,53.47,101,43.364999999999995
pf_5050,q,fut_only,0.15,31.78,59.48,54.61,32.26,58.06,50.88,36.14,63.25,55.17,87,43.195
pf_6040,r,opt_only,0.125,34.4,71.14,51.87,36.29,69.35,53.28,36.14,70.48,50.0,98,43.135
v2_p0.53_f0.27_c0.20,r,opt_only,0.125,34.69,76.38,51.5,38.71,72.98,54.11,36.75,74.7,50.49,103,43.095
pf_6040_c10neg,q,opt_only,0.1,32.36,62.1,53.75,35.89,66.94,53.79,34.34,65.06,50.0,90,43.055
v2_p0.53_f0.27_c0.20,r,opt_only,0.15,34.4,69.68,51.63,35.48,66.53,53.44,34.94,70.48,49.48,97,43.015
pf_6040_c10neg,r,opt_only,0.125,32.94,63.85,53.01,35.48,61.69,54.92,34.34,61.45,51.76,85,42.974999999999994
pro_only,q,fut_only,0.15,34.4,76.68,51.5,35.89,72.58,53.9,36.75,75.3,48.57,105,42.95
pf_5050,r,opt_only,0.125,34.11,67.35,51.69,35.48,66.53,53.44,37.35,68.07,52.63,95,42.9
pf_4555_c10,q,fut_only,0.2,31.2,52.77,54.41,29.84,52.82,47.12,30.72,56.63,51.32,76,42.805
fii_only,r,opt_only,0.05,34.4,65.89,51.14,37.5,71.77,56.43,36.14,86.14,50.43,115,42.769999999999996
fii_only,q,opt_only,0.075,31.49,50.44,53.79,37.1,62.1,60.33,33.73,75.9,49.02,102,42.64
v2_p0.53_f0.27_c0.20,q,fut_only,0.2,30.9,53.94,54.35,32.26,50.0,52.0,28.31,52.41,48.57,70,42.625
v2_p0.53_f0.27_c0.20,r,fut_only,0.2,31.49,60.64,53.55,32.26,56.45,52.73,31.33,56.63,50.65,77,42.519999999999996
pf_6040,q,opt_only,0.15,31.49,57.43,53.38,33.47,62.1,52.89,33.13,60.24,48.81,84,42.435
pf_6040_c10neg,q,c45p45f1,0.125,30.03,51.31,54.62,33.87,52.02,54.81,31.93,53.61,49.33,75,42.325
fii_only,q,opt_only,0.05,32.07,61.81,52.5,37.1,71.37,57.25,35.54,83.13,50.45,111,42.285
pf_5050,r,fut_only,0.1,32.94,72.89,51.6,33.06,75.4,50.69,39.76,74.1,55.88,102,42.269999999999996
v2_p0.53_f0.27_c0.20,q,opt_only,0.15,32.65,62.68,51.83,34.27,65.32,52.34,33.13,67.47,48.91,92,42.239999999999995
pro_only,r,c4p4f2,0.2,32.36,64.43,52.1,35.89,54.03,55.45,30.72,56.02,52.0,75,42.230000000000004
pf_5050,r,fut_only,0.15,31.78,59.48,52.6,32.26,64.11,50.81,36.75,65.06,57.95,88,42.19
v2_p0.53_f0.27_c0.20,q,c45p45f1,0.15,31.78,61.22,52.53,36.29,62.5,55.65,33.73,63.25,52.33,86,42.155
pf_4555_c10,q,opt_only,0.15,31.49,55.39,52.78,33.47,60.08,53.85,33.13,61.45,49.41,85,42.135
pf_4555_c10,q,opt_only,0.125,32.07,62.1,52.17,34.68,66.94,52.67,35.54,66.87,50.54,93,42.120000000000005
pf_4555_c10,r,fut_only,0.2,30.61,55.98,53.15,31.85,57.66,50.44,34.34,60.84,56.1,82,41.879999999999995
pf_6040,r,opt_only,0.2,31.49,53.35,52.14,35.08,53.63,57.01,31.93,56.63,50.0,78,41.815
v2_p0.53_f0.27_c0.20,q,opt_only,0.2,30.32,55.39,53.19,34.68,56.05,55.86,33.13,55.42,51.95,77,41.754999999999995
pf_5050,q,opt_only,0.125,31.2,59.18,51.63,34.68,64.11,53.17,34.94,63.86,50.56,89,41.415
pf_4555_c10,r,opt_only,0.2,31.49,52.48,51.08,35.48,52.42,58.1,32.53,58.43,49.38,81,41.285
pf_6040,r,c45p45f1,0.2,30.61,50.15,51.91,33.87,48.39,56.7,31.33,55.42,50.0,76,41.26
pf_6040_c10neg,q,opt_only,0.125,30.03,55.39,52.48,32.66,58.06,51.75,31.93,55.42,51.32,76,41.254999999999995
pf_6040_c10neg,r,opt_only,0.15,30.61,54.52,51.77,33.87,54.44,56.07,31.93,56.63,50.0,78,41.19
pf_6040_c10neg,r,c45p45f1,0.15,29.15,52.19,51.13,33.47,50.0,55.0,29.52,53.61,47.95,73,40.14
