participants,flow,instruments,thr,dev_exact,dev_cov,dev_sign,val_exact,val_cov,val_sign,conf_exact,conf_cov,conf_sign,conf_sign_n,dev_score
pf_4555_c10,q,c4p4f2,0.0,41.69,100.0,53.96,42.34,100.0,53.57,45.18,100.0,55.15,136,47.825
pf_4555_c10,r,c4p4f2,0.0,41.69,100.0,53.96,42.74,100.0,54.08,45.78,100.0,55.88,136,47.825
pf_5050,r,c3p3f4,0.05,40.23,83.97,55.36,38.71,82.66,52.76,45.18,87.95,57.85,121,47.795
v2_p0.53_f0.27_c0.20,q,c45p45f1,0.05,41.11,87.46,54.47,41.53,87.9,53.71,40.96,87.95,52.07,121,47.79
pf_5050,q,c3p3f4,0.05,38.19,78.13,57.35,39.52,79.84,52.5,45.18,87.35,57.02,121,47.769999999999996
pf_6040,r,opt_only,0.025,41.4,96.79,54.09,39.92,93.15,54.44,42.17,92.17,51.97,127,47.745000000000005
pf_4555_c10,r,c2p2f6,0.05,40.23,85.71,55.26,37.5,86.29,50.0,44.58,86.75,57.98,119,47.745
v2_p0.53_f0.27_c0.20,r,c4p4f2,0.05,40.82,88.34,54.66,42.74,88.71,53.93,43.37,90.36,54.84,124,47.739999999999995
v2_p0.53_f0.27_c0.20,q,fut_only,0.025,40.52,92.42,54.92,36.69,95.16,49.46,39.76,94.58,51.97,127,47.72
pf_6040_c10neg,r,c3p3f4,0.05,38.78,78.43,56.52,37.1,76.21,52.67,44.58,84.34,57.26,117,47.650000000000006
pf_6040_c10neg,r,c3p3f4,0.075,36.73,69.68,58.56,36.29,68.55,54.07,38.55,72.29,55.56,99,47.644999999999996
v2_p0.53_f0.27_c0.20,q,c45p45f1,0.075,39.94,81.05,55.3,40.32,79.84,54.72,40.36,79.52,53.64,110,47.62
pf_4555_c10,r,c2p2f6,0.025,40.23,91.84,54.96,38.71,93.55,49.19,46.39,93.98,56.15,130,47.595
pf_5050,q,c4p4f2,0.025,40.82,90.38,54.36,41.94,91.13,54.44,45.18,91.57,55.12,127,47.59
pf_6040,r,c45p45f1,0.05,40.23,87.76,54.94,43.15,86.69,55.17,43.37,87.95,52.85,123,47.584999999999994
pf_4555_c10,q,c45p45f1,0.025,40.82,92.13,54.29,41.94,92.74,54.1,43.98,92.17,53.12,128,47.555
pro_only,q,c4p4f2,0.05,39.94,87.76,55.17,39.92,90.73,55.43,39.16,88.55,47.97,123,47.555
fii_only,q,c2p2f6,0.05,40.82,93.0,54.25,43.15,91.53,51.61,42.77,93.98,53.91,128,47.535
pro_only,r,c4p4f2,0.05,39.65,87.76,55.41,41.94,91.13,56.18,39.16,89.16,47.58,124,47.53
pf_5050,q,c2p2f6,0.05,38.78,81.92,56.28,37.5,87.5,50.0,42.17,83.73,58.41,113,47.53
v2_p0.53_f0.27_c0.20,q,c3p3f4,0.075,38.48,74.64,56.57,38.71,73.79,54.42,41.57,78.31,57.94,107,47.525
pf_6040_c10neg,q,c2p2f6,0.05,37.9,74.64,57.14,38.71,77.82,53.9,37.35,77.71,54.81,104,47.519999999999996
pro_only,r,c45p45f1,0.0,41.4,100.0,53.58,43.95,100.0,55.61,40.96,100.0,50.0,136,47.489999999999995
pf_6040_c10neg,q,c4p4f2,0.0,41.4,100.0,53.58,43.15,100.0,54.59,45.18,100.0,55.15,136,47.489999999999995
fii_only,q,opt_only,0.0,41.4,100.0,53.58,45.97,100.0,58.16,43.98,100.0,53.68,136,47.489999999999995
pf_5050,q,c45p45f1,0.0,41.4,100.0,53.58,42.74,100.0,54.08,43.37,100.0,52.94,136,47.489999999999995
v2_p0.53_f0.27_c0.20,q,c4p4f2,0.0,41.4,100.0,53.58,43.15,100.0,54.59,42.77,100.0,52.21,136,47.489999999999995
pf_6040_c10neg,q,fut_only,0.0,41.4,100.0,53.58,40.73,100.0,51.53,42.77,100.0,52.21,136,47.489999999999995
pf_5050,q,c4p4f2,0.0,41.4,100.0,53.58,42.34,100.0,53.57,45.18,100.0,55.15,136,47.489999999999995
pf_5050,r,opt_only,0.0,41.4,100.0,53.58,43.95,100.0,55.61,42.17,100.0,51.47,136,47.489999999999995
pf_6040,r,fut_only,0.0,41.4,100.0,53.58,41.13,100.0,52.04,43.98,100.0,53.68,136,47.489999999999995
fii_only,q,c3p3f4,0.0,41.4,100.0,53.58,40.73,100.0,51.53,44.58,100.0,54.41,136,47.489999999999995
pf_6040,r,c45p45f1,0.0,41.4,100.0,53.58,43.55,100.0,55.1,42.77,100.0,52.21,136,47.489999999999995
pf_4555_c10,r,opt_only,0.0,41.4,100.0,53.58,43.95,100.0,55.61,42.17,100.0,51.47,136,47.489999999999995
v2_p0.53_f0.27_c0.20,r,c45p45f1,0.0,41.4,100.0,53.58,43.55,100.0,55.1,42.77,100.0,52.21,136,47.489999999999995
pf_4555_c10,r,fut_only,0.0,41.4,100.0,53.58,40.32,100.0,51.02,42.17,100.0,51.47,136,47.489999999999995
pf_5050,r,c2p2f6,0.025,40.23,92.13,54.73,38.31,92.74,50.0,46.39,92.77,58.27,127,47.48
pf_6040,q,c4p4f2,0.05,39.65,81.34,55.3,40.32,84.68,53.57,42.17,86.14,55.08,118,47.474999999999994
pf_6040,r,c3p3f4,0.075,38.19,76.38,56.72,36.69,73.39,53.47,43.98,81.93,57.02,114,47.455
v2_p0.53_f0.27_c0.20,r,c2p2f6,0.05,40.52,84.84,54.39,40.32,88.71,53.14,42.77,89.76,57.02,121,47.455
v2_p0.53_f0.27_c0.20,r,c45p45f1,0.05,40.23,89.8,54.62,42.74,88.71,54.8,42.17,89.76,51.2,125,47.425
