TIMESTAMP,INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PRICE,OPTION_TYPE,MARKET_TYPE,OPENING_PRICE,TRADE_HIGH_PRICE,TRADE_LOW_PRICE,CLOSING_PRICE,LAST_TRADED_PRICE,PREV_CLS,SETTLE_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,OPEN_INT,CHANGE_IN_OI,MARKET_LOT,UNDERLYING_VALUE
18-Sep-2026,OPTIDX,NIFTY,22-Sep-2026,25850,CE,N,0.6,0.7,0.35,0.45,0.35,0.5,0.45,97045,25086.62,36660,-520,65,23346.4
18-Sep-2026,OPTIDX,NIFTY,22-Sep-2026,24500,CE,N,0.9,1.25,0.8,0.85,0.85,1.1,0.85,32501430,7963177.26,10050300,-399685,65,23346.4
18-Sep-2026,OPTIDX,NIFTY,22-Sep-2026,21850,CE,N,0.0,0.0,0.0,2439.15,0.0,2439.15,1510.57,0,0.0,0,0,65,23346.4
18-Sep-2026,OPTIDX,NIFTY,22-Sep-2026,24650,CE,N,0.8,1.0,0.65,0.7,0.7,0.8,0.7,1485185,366110.26,415935,4940,65,23346.4
18-Sep-2026,OPTIDX,NIFTY,22-Sep-2026,22200,CE,N,0.0,0.0,0.0,1050.4,1056.45,1050.4,1160.91,0,0.0,2665,0,65,23346.4
18-Sep-2026,OPTIDX,NIFTY,22-Sep-2026,22600,CE,N,753.7,790.0,701.0,758.45,757.45,708.9,758.45,16510,3854.24,40755,-3185,65,23346.4
18-Sep-2026,OPTIDX,NIFTY,22-Sep-2026,23250,CE,N,165.95,183.1,128.3,154.55,151.7,149.8,154.55,95133155,22262264.49,1811745,-1272635,65,23346.4
18-Sep-2026,OPTIDX,NIFTY,22-Sep-2026,23200,CE,N,211.05,222.7,161.3,192.4,188.9,183.0,192.4,81702465,19107426.53,2665520,-661440,65,23346.4
18-Sep-2026,OPTIDX,NIFTY,22-Sep-2026,25750,CE,N,0.8,0.85,0.4,0.5,0.45,0.5,0.5,159770,41141.58,48425,30160,65,23346.4
18-Sep-2026,OPTIDX,NIFTY,22-Sep-2026,24450,CE,N,1.1,1.3,0.75,0.8,0.75,1.15,0.8,2769520,677175.31,632255,71305,65,23346.4
18-Sep-2026,OPTIDX,NIFTY,29-Sep-2026,24900,CE,N,2.6,2.75,1.7,1.85,1.7,2.6,1.85,857025,213416.39,607100,162565,65,23346.4
18-Sep-2026,OPTIDX,NIFTY,29-Sep-2026,23250,CE,N,254.95,261.9,213.7,236.4,236.0,239.15,236.4,1253785,294463.84,903760,142870,65,23346.4
18-Sep-2026,OPTIDX,NIFTY,29-Sep-2026,24750,CE,N,2.95,2.95,2.25,2.35,2.25,3.15,2.35,156975,38855.28,212615,-37505,65,23346.4
18-Sep-2026,OPTIDX,NIFTY,29-Sep-2026,22900,CE,N,521.5,541.1,467.5,510.1,509.0,496.05,510.1,56225,13156.54,133380,1300,65,23346.4
18-Sep-2026,OPTIDX,NIFTY,29-Sep-2026,26300,CE,N,0.9,1.0,0.75,0.85,0.95,1.0,0.85,26780,7043.36,127075,-2925,65,23346.4
18-Sep-2026,OPTIDX,NIFTY,29-Sep-2026,23550,CE,N,101.25,103.9,73.0,82.55,82.25,90.75,82.55,1678430,396714.56,502385,145600,65,23346.4
18-Sep-2026,OPTIDX,NIFTY,29-Sep-2026,24500,CE,N,4.25,4.4,3.05,3.25,3.2,4.25,3.25,3758820,921042.4,5496465,-147030,65,23346.4
18-Sep-2026,OPTIDX,NIFTY,29-Sep-2026,23150,CE,N,318.05,333.85,276.05,305.4,301.15,304.2,305.4,378820,88843.62,160225,-136110,65,23346.4
18-Sep-2026,OPTIDX,NIFTY,29-Sep-2026,23700,CE,N,52.3,56.15,35.65,40.45,41.2,48.5,40.45,7294495,1732019.73,2703090,975,65,23346.4
18-Sep-2026,OPTIDX,NIFTY,29-Sep-2026,22500,CE,N,875.8,918.95,832.05,881.2,880.0,854.45,881.2,59085,13808.33,590655,-715,65,23346.4
18-Sep-2026,OPTIDX,NIFTY,29-Sep-2026,26700,CE,N,0.0,0.0,0.0,1.55,1.55,1.55,0.0,0,0.0,2665,0,65,23346.4
18-Sep-2026,OPTIDX,NIFTY,29-Sep-2026,25300,CE,N,1.6,1.65,1.2,1.25,1.25,1.6,1.25,870805,220325.1,731640,-14105,65,23346.4
