left_rule_id,left_feature,right_rule_id,right_feature,dev2023_24_n,dev2023_24_coverage_pct,dev2023_24_up_calls,dev2023_24_down_calls,dev2023_24_exact_pct,dev2023_24_sign_n,dev2023_24_sign_pct,val2025_n,val2025_coverage_pct,val2025_up_calls,val2025_down_calls,val2025_exact_pct,val2025_sign_n,val2025_sign_pct,confirm2026_n,confirm2026_coverage_pct,confirm2026_up_calls,confirm2026_down_calls,confirm2026_exact_pct,confirm2026_sign_n,confirm2026_sign_pct,min_holdout_exact_pct,min_holdout_sign_pct,mean_holdout_coverage_pct
smart_vs_client_futheavy_lvl_sum4|-1|upper|0.800,smart_vs_client_futheavy_lvl_sum4,smart_vs_client_v3inst_lvl_sum4|-1|upper|0.850,smart_vs_client_v3inst_lvl_sum4,10,13.7,10,0,90.0,10,90.0,33,63.46,33,0,45.45,27,55.56,35,100.0,35,0,31.43,25,44.0,31.43,44.0,81.73
FII_optheavy_lvl_sum4|-1|upper|0.850,FII_optheavy_lvl_sum4,FII_optheavy_lvl_mean4|-1|upper|0.850,FII_optheavy_lvl_mean4,11,15.07,11,0,81.82,10,90.0,32,61.54,32,0,43.75,26,53.85,35,100.0,35,0,31.43,25,44.0,31.43,44.0,80.77
smart_v2inst_lvl_posdays7|-1|upper|0.850,smart_v2inst_lvl_posdays7,smart_v2inst_lvl_posdays7|-1|upper|0.900,smart_v2inst_lvl_posdays7,11,15.07,11,0,90.91,10,100.0,30,57.69,30,0,43.33,23,56.52,35,100.0,35,0,31.43,25,44.0,31.43,44.0,78.845
smart_v2inst_lvl_posdays7|-1|upper|0.850,smart_v2inst_lvl_posdays7,smart_plus_contra_client_v2inst_lvl_posdays7|-1|upper|0.850,smart_plus_contra_client_v2inst_lvl_posdays7,11,15.07,11,0,90.91,10,100.0,28,53.85,28,0,46.43,22,59.09,35,100.0,35,0,31.43,25,44.0,31.43,44.0,76.925
smart_v2inst_lvl_posdays7|-1|upper|0.850,smart_v2inst_lvl_posdays7,smart_plus_contra_client_v2inst_lvl_posdays7|-1|upper|0.900,smart_plus_contra_client_v2inst_lvl_posdays7,11,15.07,11,0,90.91,10,100.0,28,53.85,28,0,46.43,22,59.09,35,100.0,35,0,31.43,25,44.0,31.43,44.0,76.925
smart_v2inst_lvl_posdays7|-1|upper|0.900,smart_v2inst_lvl_posdays7,smart_plus_contra_client_v2inst_lvl_posdays7|-1|upper|0.850,smart_plus_contra_client_v2inst_lvl_posdays7,11,15.07,11,0,90.91,10,100.0,28,53.85,28,0,46.43,22,59.09,35,100.0,35,0,31.43,25,44.0,31.43,44.0,76.925
smart_v2inst_lvl_posdays7|-1|upper|0.900,smart_v2inst_lvl_posdays7,smart_plus_contra_client_v2inst_lvl_posdays7|-1|upper|0.900,smart_plus_contra_client_v2inst_lvl_posdays7,11,15.07,11,0,90.91,10,100.0,28,53.85,28,0,46.43,22,59.09,35,100.0,35,0,31.43,25,44.0,31.43,44.0,76.925
smart_plus_contra_client_v2inst_lvl_posdays7|-1|upper|0.850,smart_plus_contra_client_v2inst_lvl_posdays7,smart_plus_contra_client_v2inst_lvl_posdays7|-1|upper|0.900,smart_plus_contra_client_v2inst_lvl_posdays7,11,15.07,11,0,90.91,10,100.0,28,53.85,28,0,46.43,22,59.09,35,100.0,35,0,31.43,25,44.0,31.43,44.0,76.925
v3_smart_money_conflict_sum21|-1|upper|0.850,v3_smart_money_conflict_sum21,v3_smart_money_conflict_sum21|-1|upper|0.900,v3_smart_money_conflict_sum21,11,15.07,11,0,81.82,11,81.82,11,21.15,11,0,36.36,10,40.0,13,37.14,13,0,30.77,9,44.44,30.77,40.0,29.145
FII_v3inst_lvl_sum21|-1|upper|0.800,FII_v3inst_lvl_sum21,smart_plus_contra_client_optheavy_lvl_sum21|-1|upper|0.750,smart_plus_contra_client_optheavy_lvl_sum21,10,13.7,10,0,80.0,8,100.0,10,19.23,10,0,30.0,7,42.86,23,65.71,23,0,30.43,16,43.75,30.0,42.86,42.47
