rule_id,feature,orientation,mode,quantile,threshold_hi,threshold_lo,rho_dev,dev2023_24_n,dev2023_24_coverage_pct,dev2023_24_up_calls,dev2023_24_down_calls,dev2023_24_exact_pct,dev2023_24_sign_n,dev2023_24_sign_pct,val2025_n,val2025_coverage_pct,val2025_up_calls,val2025_down_calls,val2025_exact_pct,val2025_sign_n,val2025_sign_pct,confirm2026_n,confirm2026_coverage_pct,confirm2026_up_calls,confirm2026_down_calls,confirm2026_exact_pct,confirm2026_sign_n,confirm2026_sign_pct,min_holdout_exact_pct,min_holdout_sign_pct,mean_holdout_coverage_pct
FII_futheavy_lvl_sum15|-1|both|0.900,FII_futheavy_lvl_sum15,-1,both,0.9,1.711183685497106,-2.3215514660380863,-0.225416,16,21.92,8,8,50.0,11,72.73,45,86.54,45,0,46.67,37,56.76,35,100.0,35,0,31.43,25,44.0,31.43,44.0,93.27000000000001
FII_futheavy_lvl_mean15|-1|both|0.900,FII_futheavy_lvl_mean15,-1,both,0.9,0.11407891236647373,-0.15477009773587244,-0.222683,16,21.92,8,8,50.0,11,72.73,45,86.54,45,0,46.67,37,56.76,35,100.0,35,0,31.43,25,44.0,31.43,44.0,93.27000000000001
FII_futheavy_lvl_sum21|-1|both|0.900,FII_futheavy_lvl_sum21,-1,both,0.9,2.288697155591214,-3.085033472753565,-0.259524,16,21.92,8,8,50.0,11,72.73,45,86.54,45,0,46.67,37,56.76,35,100.0,35,0,31.43,25,44.0,31.43,44.0,93.27000000000001
FII_futheavy_lvl_mean21|-1|both|0.900,FII_futheavy_lvl_mean21,-1,both,0.9,0.10898557883767686,-0.14690635584540784,-0.259591,16,21.92,8,8,50.0,11,72.73,45,86.54,45,0,46.67,37,56.76,35,100.0,35,0,31.43,25,44.0,31.43,44.0,93.27000000000001
Client_futheavy_lvl_sum15|1|both|0.600,Client_futheavy_lvl_sum15,1,both,0.6,1.0987405491529594,0.5081585456095096,0.163001,58,79.45,29,29,46.55,46,58.7,45,86.54,39,6,44.44,37,54.05,35,100.0,35,0,31.43,25,44.0,31.43,44.0,93.27000000000001
Client_futheavy_lvl_mean15|1|both|0.600,Client_futheavy_lvl_mean15,1,both,0.6,0.07324936994353062,0.03512507864564022,0.158402,58,79.45,29,29,46.55,46,58.7,45,86.54,39,6,44.44,37,54.05,35,100.0,35,0,31.43,25,44.0,31.43,44.0,93.27000000000001
smart_futheavy_lvl_sum4|-1|upper|0.800,smart_futheavy_lvl_sum4,-1,upper,0.8,0.18613483923589275,,-0.13785,15,20.55,15,0,80.0,15,80.0,45,86.54,45,0,46.67,37,56.76,35,100.0,35,0,31.43,25,44.0,31.43,44.0,93.27000000000001
smart_futheavy_lvl_sum4|-1|upper|0.850,smart_futheavy_lvl_sum4,-1,upper,0.85,0.2076443521218417,,-0.13785,11,15.07,11,0,90.91,11,90.91,45,86.54,45,0,46.67,37,56.76,35,100.0,35,0,31.43,25,44.0,31.43,44.0,93.27000000000001
smart_futheavy_lvl_sum4|-1|both|0.800,smart_futheavy_lvl_sum4,-1,both,0.8,0.18613483923589275,-0.12391607706022184,-0.13785,30,41.1,15,15,56.67,27,62.96,45,86.54,45,0,46.67,37,56.76,35,100.0,35,0,31.43,25,44.0,31.43,44.0,93.27000000000001
smart_futheavy_lvl_sum4|-1|both|0.850,smart_futheavy_lvl_sum4,-1,both,0.85,0.2076443521218417,-0.15517843300615222,-0.13785,22,30.14,11,11,63.64,20,70.0,45,86.54,45,0,46.67,37,56.76,35,100.0,35,0,31.43,25,44.0,31.43,44.0,93.27000000000001
smart_futheavy_lvl_mean4|-1|upper|0.800,smart_futheavy_lvl_mean4,-1,upper,0.8,0.04653370980897319,,-0.13785,15,20.55,15,0,80.0,15,80.0,45,86.54,45,0,46.67,37,56.76,35,100.0,35,0,31.43,25,44.0,31.43,44.0,93.27000000000001
smart_futheavy_lvl_mean4|-1|upper|0.850,smart_futheavy_lvl_mean4,-1,upper,0.85,0.05191108803046043,,-0.13785,11,15.07,11,0,90.91,11,90.91,45,86.54,45,0,46.67,37,56.76,35,100.0,35,0,31.43,25,44.0,31.43,44.0,93.27000000000001
