date,target_week_end,target_week_sessions,period,y_week,actual
2025-08-29,2025-09-05,5,val2025,1.2860847796584585,1
2025-09-05,2025-09-12,5,val2025,1.5076189321369338,1
2025-09-12,2025-09-19,5,val2025,0.8483316078681247,1
2025-09-19,2025-09-26,5,val2025,-2.6546715863079107,-1
2025-09-26,2025-10-03,4,val2025,0.9716200156562493,1
2025-10-03,2025-10-10,5,val2025,1.5710455225604214,1
2025-10-10,2025-10-17,5,val2025,1.6788377459675319,1
2025-10-17,2025-10-24,4,val2025,0.33177945417808274,0
2025-10-24,2025-10-31,5,val2025,-0.28319277073404203,0
2025-10-31,2025-11-07,4,val2025,-0.8933951737999601,-1
2025-11-07,2025-11-14,5,val2025,1.6387301263518728,1
2025-11-14,2025-11-21,5,val2025,0.6101879386570142,1
2025-11-21,2025-11-28,5,val2025,0.5171061237563723,1
2025-11-28,2025-12-05,5,val2025,-0.06297000910202577,0
2025-12-05,2025-12-12,5,val2025,-0.53271825696114,-1
2025-12-12,2025-12-19,5,val2025,-0.30924925951022475,0
2025-12-19,2025-12-26,4,val2025,0.2923008195206078,0
2025-12-26,2026-01-02,5,val2025,1.0991732681061128,1
2026-01-02,2026-01-09,5,confirm2026,-2.450761625687703,-1
2026-01-09,2026-01-16,4,confirm2026,0.04302406622200827,0
2026-01-16,2026-01-23,5,confirm2026,-2.5130038315816394,-1
2026-01-23,2026-01-30,4,confirm2026,1.0858868641623332,1
2026-01-30,2026-02-06,5,confirm2026,1.4733034104574605,1
2026-02-06,2026-02-13,5,confirm2026,-0.8663602361668521,-1
2026-02-13,2026-02-20,5,confirm2026,0.39319071418195684,0
2026-02-20,2026-02-27,5,confirm2026,-1.535317984064133,-1
2026-02-27,2026-03-06,4,confirm2026,-2.892132818876314,-1
2026-03-06,2026-03-13,5,confirm2026,-5.3142171207482995,-1
2026-03-13,2026-03-20,5,confirm2026,-0.15809184012853805,0
2026-03-20,2026-03-27,4,confirm2026,-1.275822535637805,-1
2026-03-27,2026-04-02,3,confirm2026,-0.46670406142088616,0
2026-04-02,2026-04-10,5,confirm2026,5.888672175968934,1
2026-04-10,2026-04-17,4,confirm2026,1.2596359342386565,1
2026-04-17,2026-04-24,5,confirm2026,-1.8707744866764742,-1
2026-04-24,2026-04-30,4,confirm2026,0.4167721499124255,0
2026-04-30,2026-05-08,5,confirm2026,0.7442426414363323,1
2026-05-08,2026-05-15,5,confirm2026,-2.203204397722558,-1
2026-05-15,2026-05-22,5,confirm2026,0.32059551250871454,0
2026-05-22,2026-05-29,4,confirm2026,-0.7232506861500898,-1
2026-05-29,2026-06-05,5,confirm2026,-0.7688632671911333,-1
2026-06-05,2026-06-12,5,confirm2026,1.0964321020940027,1
2026-06-12,2026-06-19,5,confirm2026,1.6517870371546062,1
2026-06-19,2026-06-25,4,confirm2026,0.178652485518338,0
2026-06-25,2026-07-03,5,confirm2026,0.8931243764549235,1
2026-07-03,2026-07-10,5,confirm2026,-0.2634847976069943,0
2026-07-10,2026-07-17,5,confirm2026,0.5262962213253175,1
2026-07-17,2026-07-24,5,confirm2026,-2.3294280090242925,-1
2026-07-24,2026-07-31,5,confirm2026,2.5924110495656683,1
2026-07-31,2026-08-07,5,confirm2026,0.7671139618432132,1
2026-08-07,2026-08-14,5,confirm2026,-0.8329042984210888,-1
2026-08-14,2026-08-21,5,confirm2026,-0.4678650578675225,0
2026-08-21,2026-08-28,5,confirm2026,-0.31481939633843936,0
2026-08-28,2026-09-04,5,confirm2026,-1.1497105558692322,-1
