feature,mode,quantile,rho_train2010_22,train2010_22_n,train2010_22_coverage_pct,train2010_22_up_calls,train2010_22_down_calls,train2010_22_exact_pct,train2010_22_sign_n,train2010_22_sign_pct,val2023_24_n,val2023_24_coverage_pct,val2023_24_up_calls,val2023_24_down_calls,val2023_24_exact_pct,val2023_24_sign_n,val2023_24_sign_pct,confirm2025_26_n,confirm2025_26_coverage_pct,confirm2025_26_up_calls,confirm2025_26_down_calls,confirm2025_26_exact_pct,confirm2025_26_sign_n,confirm2025_26_sign_pct,min_val_confirm_exact_pct,min_val_confirm_sign_pct
ret60,two_tail,0.9,-0.015286,634,19.65,317,317,44.95,569,50.09,29,5.87,11,18,55.17,23,69.57,47,11.3,44,3,46.81,37,59.46,46.81,59.46
ma_dev4,up_tail,0.8,0.048346,645,19.99,645,0,50.7,529,61.81,60,12.15,60,0,46.67,42,66.67,55,13.22,55,0,47.27,43,60.47,46.67,60.47
ma_dev7,up_tail,0.75,0.039674,806,24.98,806,0,48.76,662,59.37,97,19.64,97,0,47.42,69,66.67,58,13.94,58,0,46.55,46,58.7,46.55,58.7
gap_sum2,up_tail,0.55,0.070809,1451,44.98,1451,0,48.59,1214,58.07,215,43.52,215,0,46.51,165,60.61,129,31.01,129,0,46.51,101,59.41,46.51,59.41
range_mean7,up_tail,0.55,0.038249,1451,44.98,1451,0,48.38,1285,54.63,71,14.37,71,0,46.48,53,62.26,70,16.83,70,0,51.43,58,62.07,46.48,62.07
range_mean7,up_tail,0.6,0.038249,1290,39.99,1290,0,48.6,1152,54.43,56,11.34,56,0,46.43,40,65.0,61,14.66,61,0,50.82,52,59.62,46.43,59.62
gap_sum5,up_tail,0.75,0.042944,807,25.02,807,0,46.72,677,55.69,84,17.0,84,0,59.52,71,70.42,56,13.46,56,0,46.43,44,59.09,46.43,59.09
ret4,two_tail,0.925,0.029993,484,15.0,242,242,48.14,435,53.56,28,5.67,11,17,46.43,22,59.09,37,8.89,21,16,48.65,33,54.55,46.43,54.55
ret3,two_tail,0.925,0.030293,484,15.0,242,242,44.83,422,51.42,28,5.67,12,16,53.57,24,62.5,28,6.73,17,11,46.43,25,52.0,46.43,52.0
ret2,up_tail,0.7,0.043343,967,29.98,967,0,49.12,795,59.75,109,22.06,109,0,50.46,83,66.27,97,23.32,97,0,46.39,76,59.21,46.39,59.21
low_break5,up_tail,0.7,0.038877,967,29.98,967,0,48.6,810,58.02,93,18.83,93,0,46.24,67,64.18,68,16.35,68,0,51.47,59,59.32,46.24,59.32
high_break120,up_tail,0.8,-0.016706,634,19.65,634,0,50.79,575,56.0,23,4.66,23,0,47.83,18,61.11,106,25.48,106,0,46.23,85,57.65,46.23,57.65
gap_sum2,up_tail,0.65,0.070809,1129,35.0,1129,0,50.04,952,59.35,157,31.78,157,0,48.41,119,63.87,89,21.39,89,0,46.07,66,62.12,46.07,62.12
range_mean10,up_tail,0.55,0.033945,1450,44.95,1450,0,48.41,1285,54.63,63,12.75,63,0,46.03,50,58.0,61,14.66,61,0,57.38,55,63.64,46.03,58.0
low_break3,two_tail,0.9,0.052475,646,20.02,323,323,47.21,557,54.76,50,10.12,12,38,48.0,44,54.55,63,15.14,25,38,46.03,56,51.79,46.03,51.79
gap_sum3,two_tail,0.925,0.060479,484,15.0,242,242,48.76,429,55.01,34,6.88,13,21,50.0,28,60.71,63,15.14,17,46,46.03,56,51.79,46.03,51.79
gap_sum15,up_tail,0.6,0.018576,1290,39.99,1290,0,46.05,1071,55.46,159,32.19,159,0,50.31,124,64.52,50,12.02,50,0,46.0,41,56.1,46.0,56.1
gap_sum2,two_tail,0.75,0.070809,1614,50.03,807,807,47.77,1397,55.19,211,42.71,97,114,45.97,170,57.06,211,50.72,55,156,45.97,169,57.4,45.97,57.06
ma_dev5,up_tail,0.7,0.044911,968,30.01,968,0,49.79,796,60.55,111,22.47,111,0,51.35,82,69.51,74,17.79,74,0,45.95,58,58.62,45.95,58.62
gap_sum5,up_tail,0.65,0.042944,1129,35.0,1129,0,46.86,933,56.7,140,28.34,140,0,51.43,111,64.86,74,17.79,74,0,45.95,59,57.63,45.95,57.63
gap_sum2,two_tail,0.95,0.070809,324,10.04,162,162,49.69,292,55.14,21,4.25,8,13,66.67,20,70.0,37,8.89,11,26,45.95,34,50.0,45.95,50.0
gap_sum2,up_tail,0.7,0.070809,968,30.01,968,0,50.0,818,59.17,129,26.11,129,0,48.84,97,64.95,72,17.31,72,0,45.83,53,62.26,45.83,62.26
low_break4,two_tail,0.925,0.048819,484,15.0,242,242,47.93,430,53.95,35,7.09,9,26,51.43,32,56.25,48,11.54,18,30,45.83,42,52.38,45.83,52.38
gap_sum2,up_tail,0.6,0.070809,1290,39.99,1290,0,48.99,1087,58.14,196,39.68,196,0,47.45,150,62.0,107,25.72,107,0,45.79,83,59.04,45.79,59.04
gap_sum3,two_tail,0.9,0.060479,646,20.02,323,323,47.83,573,53.93,52,10.53,21,31,50.0,44,59.09,83,19.95,23,60,45.78,73,52.05,45.78,52.05
rv30,up_tail,0.6,0.029625,1285,39.83,1285,0,48.4,1145,54.32,30,6.07,30,0,60.0,21,85.71,94,22.6,94,0,45.74,80,53.75,45.74,53.75
low_break7,up_tail,0.85,0.026132,484,15.0,484,0,48.97,410,57.8,20,4.05,20,0,55.0,15,73.33,35,8.41,35,0,45.71,29,55.17,45.71,55.17
gap_sum15,up_tail,0.65,0.018576,1129,35.0,1129,0,46.77,939,56.23,136,27.53,136,0,49.26,104,64.42,46,11.06,46,0,45.65,37,56.76,45.65,56.76
gap_sum3,two_tail,0.95,0.060479,324,10.04,162,162,49.69,291,55.33,21,4.25,10,11,57.14,19,63.16,46,11.06,13,33,45.65,42,50.0,45.65,50.0
rv40,up_tail,0.8,0.027807,642,19.9,642,0,49.69,570,55.96,40,8.1,40,0,52.5,26,80.77,57,13.7,57,0,45.61,48,54.17,45.61,54.17
low_break3,up_tail,0.8,0.052475,645,19.99,645,0,50.23,545,59.45,44,8.91,44,0,45.45,31,64.52,46,11.06,46,0,54.35,40,62.5,45.45,62.5
gap_sum5,two_tail,0.925,0.042944,484,15.0,242,242,45.87,427,51.99,33,6.68,16,17,45.45,26,57.69,64,15.38,19,45,51.56,56,58.93,45.45,57.69
ret1,up_tail,0.85,0.077575,484,15.0,484,0,55.58,411,65.45,33,6.68,33,0,45.45,24,62.5,43,10.34,43,0,46.51,35,57.14,45.45,57.14
ma_dev2,up_tail,0.85,0.077494,484,15.0,484,0,55.58,411,65.45,33,6.68,33,0,45.45,24,62.5,43,10.34,43,0,46.51,35,57.14,45.45,57.14
gap_sum10,up_tail,0.75,0.035587,807,25.02,807,0,47.58,673,57.06,82,16.6,82,0,58.54,72,66.67,33,7.93,33,0,45.45,27,55.56,45.45,55.56
high_break2,two_tail,0.9,0.039709,646,20.02,323,323,49.69,553,58.05,53,10.73,36,17,47.17,39,64.1,44,10.58,28,16,45.45,36,55.56,45.45,55.56
rv4,up_tail,0.75,0.05338,806,24.98,806,0,49.38,711,55.98,33,6.68,33,0,45.45,27,55.56,56,13.46,56,0,53.57,51,58.82,45.45,55.56
rv30,up_tail,0.9,0.029625,322,9.98,322,0,51.55,291,57.04,28,5.67,28,0,57.14,19,84.21,22,5.29,22,0,45.45,18,55.56,45.45,55.56
low_break2,two_tail,0.85,0.047938,968,30.01,484,484,46.9,826,54.96,77,15.59,25,52,45.45,62,56.45,93,22.36,32,61,47.31,83,53.01,45.45,53.01
ret_z180,up_tail,0.95,0.078936,157,4.87,157,0,58.6,136,67.65,20,4.05,20,0,60.0,15,80.0,22,5.29,22,0,45.45,19,52.63,45.45,52.63
high_break10,up_tail,0.9,0.021083,323,10.01,323,0,52.94,258,66.28,53,10.73,53,0,47.17,40,62.5,33,7.93,33,0,45.45,29,51.72,45.45,51.72
high_break10,two_tail,0.925,0.021083,484,15.0,242,242,48.14,415,56.14,35,7.09,34,1,51.43,27,66.67,33,7.93,20,13,45.45,31,48.39,45.45,48.39
high_break120,up_tail,0.75,-0.016706,792,24.55,792,0,49.87,714,55.32,31,6.28,31,0,48.39,26,57.69,141,33.89,141,0,45.39,115,55.65,45.39,55.65
ret_z90,up_tail,0.8,0.079658,637,19.75,637,0,51.81,528,62.5,95,19.23,95,0,52.63,74,67.57,86,20.67,86,0,45.35,67,58.21,45.35,58.21
rv2,up_tail,0.7,0.028274,967,29.98,967,0,49.33,854,55.85,85,17.21,85,0,50.59,66,65.15,86,20.67,86,0,45.35,72,54.17,45.35,54.17
low_break5,two_tail,0.9,0.038877,646,20.02,323,323,47.68,567,54.32,41,8.3,11,30,48.78,36,55.56,64,15.38,26,38,45.31,56,51.79,45.31,51.79
ma_dev3,two_tail,0.8,0.05973,1291,40.02,646,645,47.95,1098,56.38,117,23.68,56,61,46.15,93,58.06,106,25.48,47,59,45.28,93,51.61,45.28,51.61
low_break4,up_tail,0.7,0.048819,967,29.98,967,0,49.74,821,58.59,95,19.23,95,0,45.26,68,63.24,63,15.14,63,0,49.21,53,58.49,45.26,58.49
ret_z40,up_tail,0.9,0.080477,321,9.95,321,0,55.14,264,67.05,45,9.11,45,0,55.56,34,73.53,42,10.1,42,0,45.24,32,59.38,45.24,59.38
